number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.03213438391685486,160,3,0.36599697090570255,0.0007661100707771367,32,7.0601799916168515,13.332279406319556,0.9049500267410447,0.9049500267410447,0.8619289429664678,14.568632545201298,7.998999999999997,0.9371209507030466,0.8578169838242109,19.0,0.03213438391685486
1,TrialState.COMPLETE,0.03347231447696686,288,2,0.35403628889802274,0.00010725209743172001,32,7.7326084839428555,15.331699117028533,0.8743033332628827,0.8743033332628827,0.8159265427000746,13.961952906539876,7.998999999999997,0.9354071853845966,0.45360861589177043,19.0,0.03347231447696686
2,TrialState.COMPLETE,0.03208407759666443,96,1,0.15212112147976886,0.0005958389350068958,128,7.277630396520813,14.36483970527603,0.8896570084764843,0.8896570084764843,0.8257167089084267,13.619209247159791,7.998999999999997,0.9378631629422346,0.4433218277659764,19.0,0.03208407759666443
3,TrialState.COMPLETE,0.0280158631503582,96,1,0.18318092164684585,0.000471705203762518,32,6.759493292811722,12.8715786457132,0.9114054890999903,0.9114054890999903,0.8741234185741488,13.117184895368458,7.998999999999997,0.9462141063350986,0.6477957118667534,19.0,0.0280158631503582
4,TrialState.COMPLETE,0.040875647217035294,224,1,0.3037724259507192,0.0001786013788939711,128,9.551595094623373,18.364776912583917,0.8196506838484777,0.8196506838484777,0.7135134848284563,16.28624111652972,7.998999999999997,0.9216789156558518,0.6407136882028609,19.0,0.040875647217035294
5,TrialState.COMPLETE,0.02663678303360939,288,1,0.048836057003191935,0.0010249322216924156,128,6.5823600869067125,13.141210347754813,0.9076548864423475,0.9076548864423475,0.8512840504434105,12.298562033268661,7.998999999999997,0.9489390903639285,0.5941283619720933,19.0,0.02663678303360939
6,TrialState.COMPLETE,0.03135502338409424,64,3,0.12938999080000846,0.0009519754482692679,128,7.055663661554903,13.57533680930708,0.9014527720316239,0.9014527720316239,0.8702632141826867,13.376328240757578,7.998999999999997,0.9394595940537118,0.2626170974326372,19.0,0.03135502338409424
7,TrialState.COMPLETE,0.0279544685035944,96,3,0.3875664116805573,0.002442046084491142,128,6.500474491578679,12.551331341984458,0.9157591432633091,0.9157591432633091,0.8839215269319527,12.45250758154576,7.998999999999997,0.9456566773144468,0.48663377987436407,19.0,0.0279544685035944
8,TrialState.COMPLETE,0.0346023328602314,64,1,0.022613644455269033,0.0003023795012558478,128,7.512288489376822,14.433929521802327,0.8885930341397648,0.8885930341397648,0.8454921881490303,14.770721970069467,7.998999999999997,0.9323089546184592,0.35509154957846867,19.0,0.0346023328602314
9,TrialState.COMPLETE,0.04316563531756401,160,1,0.27134804157912423,0.00016149614799999194,128,9.864960364772324,19.03071090619097,0.8063340771466764,0.8063340771466764,0.7061805319773442,16.971817779843974,7.998999999999997,0.9173877579981614,1.3492835025281764,19.0,0.04316563531756401
10,TrialState.COMPLETE,0.031067943200469017,320,2,0.4847685553939328,0.0019311884591834162,64,8.018288293296278,15.371296416395781,0.8736532192874378,0.8736532192874378,0.7379480506137074,14.33623830022894,7.998999999999997,0.9409260221236196,0.4955599744551358,19.0,0.031067943200469017
11,TrialState.COMPLETE,0.026536691933870316,256,2,0.005503584000308481,0.0025048257256503306,64,6.5494266511859704,12.420747107920196,0.9175029109370694,0.9175029109370694,0.9180703666911094,12.921105969043372,7.998999999999997,0.9492052726343897,0.6045171886101917,19.0,0.026536691933870316
12,TrialState.COMPLETE,0.028286727145314217,256,2,0.011833568745900011,0.001485714988594999,64,6.803018888492647,13.219335600111002,0.9065536285864308,0.9065536285864308,0.8862359970783634,12.851420210344934,7.998999999999997,0.9457352936534387,0.5522474907502943,19.0,0.028286727145314217
13,TrialState.COMPLETE,0.02914423868060112,320,2,0.07805459570824763,0.0014142614599441294,64,7.287658631245031,13.647416228256409,0.900403503843529,0.900403503843529,0.867088953373409,13.428470904164245,7.998999999999997,0.9444167086786208,0.5621832950913515,19.0,0.02914423868060112
