number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,8.565185546875,32,8,0.18033450352296262,0.0011114989443094978,64,8.565184593200684,14.776091575622559,0.8127642273902893,0.8127642273902893,0.8971890283171119,20.583711624145508,8.996,0.8798781633377075,1.923812747001648,1260.0,8.565185546875,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,9.800010681152344,96,8,0.04184815819561255,0.00027010527749605503,128,9.800009727478027,17.025718688964844,0.7514117360115051,0.7514117360115051,0.8668862759408016,23.728775024414062,8.996,0.8381393551826477,2.3983116149902344,1260.0,9.800010681152344,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,9.237743377685547,64,8,0.2896896099223678,0.0015635108708133452,128,9.237743377685547,15.200485229492188,0.8018543124198914,0.8018543124198914,0.870023290099142,23.805843353271484,8.996,0.8451862931251526,3.2090985774993896,1260.0,9.237743377685547,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,9.030298233032227,64,1,0.15602040635334324,0.000642033033629786,64,9.030299186706543,16.071231842041016,0.778502881526947,0.778502881526947,0.8899207861649499,21.248003005981445,8.996,0.8641520738601685,2.1772618293762207,1260.0,9.030298233032227,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,8.635076522827148,16,8,0.1166031869068446,0.0002516607127550297,32,8.635075569152832,14.500840187072754,0.8196749687194824,0.8196749687194824,0.851386305218107,21.664077758789062,8.996,0.8704466819763184,2.628075361251831,1260.0,8.635076522827148,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,8.563178062438965,64,1,0.24463842853645024,0.0011069143219393448,64,8.563177108764648,14.691579818725586,0.8148998618125916,0.8148998618125916,0.9051112876408153,20.602554321289062,8.996,0.8806964755058289,1.5574918985366821,1260.0,8.563178062438965,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,9.657017707824707,64,1,0.21888185350141923,0.000874479618932312,32,9.657018661499023,16.0303897857666,0.77962726354599,0.77962726354599,0.8664645298927733,24.35573959350586,8.996,0.8368484973907471,2.6262893676757812,1260.0,9.657017707824707,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,10.158452987670898,96,2,0.032367428097991334,0.00011128194768838959,32,10.158452987670898,17.080949783325195,0.7497963309288025,0.7497963309288025,0.868987038266735,24.245899200439453,8.996,0.8354681134223938,2.271968364715576,1260.0,10.158452987670898,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,8.585258483886719,16,4,0.2789092957027719,0.0015620386984526499,64,8.585257530212402,15.262247085571289,0.8002408742904663,0.8002408742904663,0.8050983592439142,20.60797691345215,8.996,0.8727701902389526,1.3426856994628906,1260.0,8.585258483886719,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,8.848981857299805,32,1,0.1281323365878769,0.0016155001304356408,32,8.848981857299805,15.198628425598145,0.801902711391449,0.801902711391449,0.840868370723246,21.981876373291016,8.996,0.8714777827262878,2.3892030715942383,1260.0,8.848981857299805,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
10,TrialState.COMPLETE,8.877912521362305,64,4,0.2398545487276329,0.002383666191831985,64,8.877913475036621,15.406752586364746,0.7964402437210083,0.7964402437210083,0.8920028709651788,21.26051139831543,8.996,0.8734763264656067,1.6584222316741943,1260.0,8.877912521362305,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
11,TrialState.COMPLETE,8.475225448608398,32,2,0.19139152656331826,0.0008839965901907368,64,8.475225448608398,15.001699447631836,0.8070029616355896,0.8070029616355896,0.8991196537368351,20.520328521728516,8.996,0.8761043548583984,1.7893242835998535,1260.0,8.475225448608398,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
12,TrialState.COMPLETE,8.66330623626709,32,2,0.22039727537698006,0.00043570990439169126,64,8.66330623626709,14.854421615600586,0.8107738494873047,0.8107738494873047,0.9026369651220475,20.450870513916016,8.996,0.88226717710495,1.8821154832839966,1260.0,8.66330623626709,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
13,TrialState.COMPLETE,9.508157730102539,32,2,0.1891807272586748,0.0004776872905693736,64,9.508157730102539,15.44112491607666,0.7955309748649597,0.7955309748649597,0.8457259448215425,29.490310668945312,8.996,0.7653936147689819,2.8782505989074707,1260.0,9.508157730102539,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
14,TrialState.COMPLETE,9.652978897094727,64,1,0.08975825131497782,0.0008124301648390451,64,9.652978897094727,17.10881233215332,0.7489793300628662,0.7489793300628662,0.7504514823041909,22.741342544555664,8.996,0.8514086604118347,1.4457682371139526,1260.0,9.652978897094727,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
15,TrialState.COMPLETE,9.357759475708008,32,2,0.25594556965202164,0.00269853035086295,64,9.357759475708008,16.03501319885254,0.7795001268386841,0.7795001268386841,0.8873245827061143,23.229867935180664,8.996,0.8529291749000549,2.26908540725708,1260.0,9.357759475708008,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
16,TrialState.COMPLETE,9.879170417785645,96,1,0.19100877837206698,0.00031678528389444044,128,9.879170417785645,17.735126495361328,0.73026442527771,0.73026442527771,0.8227458814234772,22.26192855834961,8.996,0.8591286540031433,2.0820934772491455,1260.0,9.879170417785645,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
17,TrialState.COMPLETE,9.254111289978027,16,2,0.2629471839822912,0.0011172664075427678,64,9.254111289978027,15.259593963623047,0.8003103137016296,0.8003103137016296,0.8831790155494578,22.36972427368164,8.996,0.8635801672935486,2.3891663551330566,1260.0,9.254111289978027,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
18,TrialState.COMPLETE,8.703993797302246,64,4,0.22458410220500713,0.00017560897260829027,64,8.703993797302246,14.93000602722168,0.8088432550430298,0.8088432550430298,0.9001611993951064,21.333648681640625,8.996,0.8694127798080444,1.8812882900238037,1260.0,8.703993797302246,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
19,TrialState.COMPLETE,9.12731647491455,32,1,0.08637278983951921,0.0006101150899487766,128,9.12731647491455,15.868664741516113,0.7840513586997986,0.7840513586997986,0.8925042630929207,22.17851448059082,8.996,0.8603590726852417,2.8031511306762695,1260.0,9.12731647491455,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
20,TrialState.COMPLETE,9.472105979919434,32,2,0.2995870156618611,0.0020471180289258904,64,9.4721040725708,16.73345375061035,0.75987309217453,0.75987309217453,0.8647933175284508,22.436817169189453,8.996,0.8563023209571838,1.7516146898269653,1260.0,9.472105979919434,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
21,TrialState.COMPLETE,8.645676612854004,32,8,0.17879941905469082,0.0011633185649566028,64,8.645676612854004,15.045920372009277,0.8058634996414185,0.8058634996414185,0.8852953441095593,21.7072811126709,8.996,0.8656465411186218,1.3428831100463867,1260.0,8.645676612854004,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
22,TrialState.COMPLETE,9.173004150390625,32,8,0.15932030474963238,0.0010526893493442609,64,9.173004150390625,15.328404426574707,0.7985053062438965,0.7985053062438965,0.8792954965291073,22.861000061035156,8.996,0.8577881455421448,2.8822672367095947,1260.0,9.173004150390625,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
