number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.46841612458229065,160,3,0.36599697090570255,0.0007661100707771367,32,30.255307776441345,47.33314662219812,-0.1833224691946378,-0.1833224691946378,-0.11790112700039601,65.23095328956714,7.999000000000001,-0.06328678263424692,13.456900898775835,19.0,0.46841612458229065
1,TrialState.COMPLETE,0.44990915060043335,288,2,0.35403628889802274,0.00010725209743172001,32,28.492317510546272,48.91188418712904,-0.2635753473436653,-0.2635753473436653,-0.35352843139387935,61.884530826560216,7.999000000000001,-0.06550304223533576,6.686966251718582,19.0,0.44990915060043335
2,TrialState.COMPLETE,0.4492875039577484,96,1,0.15212112147976886,0.0005958389350068958,128,28.587593909410078,48.50603969226399,-0.24269340524774918,-0.24269340524774918,-0.31632572466162134,62.187562725961634,7.999000000000001,-0.06096060980982032,5.585149729615454,19.0,0.4492875039577484
3,TrialState.COMPLETE,0.4729938209056854,96,1,0.18318092164684585,0.000471705203762518,32,29.37963446932848,48.75619057722052,-0.2555438638104204,-0.2555438638104204,-0.2995833764530482,65.0120069963774,7.999000000000001,-0.09114416997342478,6.968108694452485,19.0,0.4729938209056854
4,TrialState.COMPLETE,0.4322132170200348,224,1,0.3037724259507192,0.0001786013788939711,128,28.261232469187657,48.45345945094677,-0.2400007218266782,-0.2400007218266782,-0.32409915221610897,61.14282344068519,7.999000000000001,-0.010683353597036982,6.908520745556521,19.0,0.4322132170200348
5,TrialState.COMPLETE,0.5113705396652222,288,1,0.048836057003191935,0.0010249322216924156,128,30.477029324892843,50.05267881918246,-0.3232046236117161,-0.3232046236117161,-0.32333899713244696,66.75963678152739,7.999000000000001,-0.2225974918442266,4.482451871155147,19.0,0.5113705396652222
6,TrialState.COMPLETE,0.48923641443252563,64,3,0.12938999080000846,0.0009519754482692679,128,29.465526598803418,48.84042096165138,-0.25988572445645186,-0.25988572445645186,-0.2657150006999207,65.70431628341049,7.999000000000001,-0.15339173864657574,6.29223838985207,19.0,0.48923641443252563
7,TrialState.COMPLETE,0.5195915699005127,96,3,0.3875664116805573,0.002442046084491142,128,31.110669709671072,51.7804161833001,-0.41613100522884494,-0.41613100522884494,-0.3159392067402105,65.67244910175292,7.999000000000001,-0.29272593795208635,5.891356604994512,19.0,0.5195915699005127
8,TrialState.COMPLETE,0.42426255345344543,64,1,0.022613644455269033,0.0003023795012558478,128,28.145863750731174,47.88519923127839,-0.2110859207918252,-0.2110859207918252,-0.28011309129026474,60.92950004046703,7.999000000000001,0.01902646165780808,6.5936692437067865,19.0,0.42426255345344543
9,TrialState.COMPLETE,0.4172002971172333,160,1,0.27134804157912423,0.00016149614799999194,128,28.04554687291689,47.55824992553095,-0.19460433850507175,-0.19460433850507175,-0.2567339172029166,60.43599536658573,7.999000000000001,0.03699245900469572,5.883813035829269,19.0,0.4172002971172333
10,TrialState.COMPLETE,0.4353245198726654,192,2,0.4847685553939329,0.0001062996582408466,64,28.330881649056394,48.44315345360154,-0.23947328435553805,-0.23947328435553805,-0.3233398012826403,61.34039075177827,7.999000000000001,-0.02096363490751818,6.761857917390105,19.0,0.4353245198726654
11,TrialState.COMPLETE,0.42207086086273193,160,2,0.005439474756386554,0.00025048530900246906,64,27.84992084240181,48.0403116050711,-0.2189446608300285,-0.2189446608300285,-0.2657436142327192,59.62404487689616,7.999000000000001,0.013749988503121369,5.273053714977589,19.0,0.42207086086273193
12,TrialState.COMPLETE,0.44596976041793823,160,2,0.23117229321082272,0.00022591320534193023,64,28.81138301206204,47.90567203268856,-0.21212171566029214,-0.21212171566029214,-0.2714519047193267,62.662808845672416,7.999000000000001,-0.023011948168183194,7.792043061494443,19.0,0.44596976041793823
13,TrialState.COMPLETE,0.4513150751590729,224,2,0.2600752424633802,0.00033196864357556505,64,28.66315075839827,48.73217485703277,-0.2543072879575503,-0.2543072879575503,-0.35559646466003003,62.46219453715511,7.999000000000001,-0.05891452658449858,6.943423629079907,19.0,0.4513150751590729
14,TrialState.COMPLETE,0.4399917721748352,160,2,0.10747581082339583,0.0001520492534827606,64,28.36556926184384,48.36595104872823,-0.23552580934151823,-0.23552580934151823,-0.3096451895500896,61.51843315457503,7.999000000000001,-0.026099691977730544,7.347354156579884,19.0,0.4399917721748352
15,TrialState.COMPLETE,0.4517606794834137,224,2,0.46818430954695534,0.0002626491680126368,64,28.4619651706292,48.957522199656744,-0.2659344456314736,-0.2659344456314736,-0.346291290088784,61.53260258330656,7.999000000000001,-0.07909439546353281,6.225653613798882,19.0,0.4517606794834137
16,TrialState.COMPLETE,0.4602729380130768,128,1,0.22358721338239282,0.00038994177977997896,64,28.83132146163524,48.86975514497837,-0.2613995859967233,-0.2613995859967233,-0.3265195019992704,63.145986429758224,7.999000000000001,-0.07452698045448125,6.640201353946872,19.0,0.4602729380130768
17,TrialState.COMPLETE,0.46310368180274963,192,3,0.08990655047242671,0.00016034055878559177,64,28.75696549594606,48.596070137115355,-0.24731072999297998,-0.24731072999297998,-0.3401929441545697,62.77606996074731,7.999000000000001,-0.10314345772592204,6.804362167562803,19.0,0.46310368180274963
18,TrialState.COMPLETE,0.439431369304657,320,1,0.27939929152165716,0.0015548284577247223,128,29.10092540242322,48.57095294395042,-0.24602170196376894,-0.24602170196376894,-0.2616802850786615,61.95629309132815,7.999000000000001,-0.008518993946661224,7.035749118844711,19.0,0.439431369304657
19,TrialState.COMPLETE,0.4519626200199127,128,2,0.002289790429857165,0.00022247605673727044,32,28.455118103404903,48.35084651265458,-0.23475422810706048,-0.23475422810706048,-0.2793228077609464,61.75689125459382,7.999000000000001,-0.06219507766103405,7.0464706664406425,19.0,0.4519626200199127
