number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,10.644713401794434,32,8,0.18033450352296262,0.0011114989443094978,64,10.644713401794434,18.32770347595215,0.8223491311073303,0.8223491311073303,0.7971671097887709,22.663572311401367,7.999,0.8731584548950195,1.6170291900634766,285.0,10.644713401794434,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,13.87960433959961,96,8,0.04184815819561255,0.00027010527749605503,128,13.879603385925293,23.51582145690918,0.7075365781784058,0.7075365781784058,0.627609767732977,29.181203842163086,7.999,0.799725353717804,1.3436719179153442,285.0,13.87960433959961,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,10.7395601272583,64,8,0.2896896099223678,0.0015635108708133452,128,10.7395601272583,18.57248878479004,0.8175719976425171,0.8175719976425171,0.8105226347361205,22.54278564453125,7.999,0.8715794086456299,1.4664387702941895,285.0,10.7395601272583,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,11.585144996643066,64,1,0.15602040635334324,0.000642033033629786,64,11.585144996643066,19.812471389770508,0.7923994660377502,0.7923994660377502,0.7868199431994116,24.32761573791504,7.999,0.8504106998443604,1.00214684009552,285.0,11.585144996643066,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,9.458223342895508,16,8,0.1166031869068446,0.0002516607127550297,32,9.458222389221191,16.918542861938477,0.8486169576644897,0.8486169576644897,0.8622200854334585,20.142915725708008,7.999,0.8936303853988647,1.2714210748672485,285.0,9.458223342895508,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,11.493310928344727,64,1,0.24463842853645024,0.0011069143219393448,64,11.49330997467041,20.175033569335938,0.7847318649291992,0.7847318649291992,0.7423319567177327,23.729022979736328,7.999,0.8524117469787598,1.1214672327041626,285.0,11.493310928344727,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,12.217636108398438,64,1,0.21888185350141923,0.000874479618932312,32,12.217636108398438,21.160696029663086,0.7631839513778687,0.7631839513778687,0.7285645159610461,25.363990783691406,7.999,0.8325240015983582,1.0596444606781006,285.0,12.217636108398438,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,10.220142364501953,96,2,0.032367428097991334,0.00011128194768838959,32,10.220141410827637,17.986371994018555,0.8289046287536621,0.8289046287536621,0.8095451373400511,20.950960159301758,7.999,0.8896180391311646,1.4530149698257446,285.0,10.220142364501953,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,11.199562072753906,16,4,0.2789092957027719,0.0015620386984526499,64,11.199562072753906,19.646265029907227,0.7958679795265198,0.7958679795265198,0.8085454557635514,23.54668617248535,7.999,0.8544852137565613,1.3683830499649048,285.0,11.199562072753906,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,12.25876235961914,32,1,0.1281323365878769,0.0016155001304356408,32,12.258761405944824,21.124643325805664,0.7639902234077454,0.7639902234077454,0.7359816598118538,24.19346046447754,7.999,0.8550601005554199,1.7868610620498657,285.0,12.25876235961914,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
10,TrialState.COMPLETE,11.402490615844727,16,4,0.09308702882865652,0.0003253425182484388,32,11.40248966217041,19.83313751220703,0.7919660806655884,0.7919660806655884,0.7415263528358216,24.033130645751953,7.999,0.8554984331130981,1.6226118803024292,285.0,11.402490615844727,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
11,TrialState.COMPLETE,11.103107452392578,96,2,0.0084486359370851,0.00011828743217212113,32,11.103109359741211,19.032550811767578,0.8084222078323364,0.8084222078323364,0.7518798135264873,22.91893768310547,7.999,0.869010329246521,1.004379391670227,285.0,11.103107452392578,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
12,TrialState.COMPLETE,10.664401054382324,96,2,0.0710694815940677,0.00011075699085582265,32,10.664401054382324,18.54414939880371,0.8181283473968506,0.8181283473968506,0.8123381067414409,22.356159210205078,7.999,0.8720009922981262,1.2281240224838257,285.0,10.664401054382324,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
13,TrialState.COMPLETE,11.363252639770508,16,2,0.0019231662966059972,0.00020836079378062217,32,11.363253593444824,19.3878173828125,0.8012033700942993,0.8012033700942993,0.8068745615646755,23.78922462463379,7.999,0.8667481541633606,1.8115748167037964,285.0,11.363252639770508,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
14,TrialState.COMPLETE,11.192200660705566,96,2,0.08779506522826433,0.00018006042831476178,32,11.192200660705566,19.738977432250977,0.7939367890357971,0.7939367890357971,0.792563621683857,22.475915908813477,7.999,0.8662725687026978,1.0416518449783325,285.0,11.192200660705566,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
15,TrialState.COMPLETE,10.595907211303711,16,8,0.12443607342288379,0.00038752315752758914,32,10.595907211303711,18.257001876831055,0.8237171173095703,0.8237171173095703,0.781982587038784,22.548175811767578,7.999,0.8808156847953796,2.0105714797973633,285.0,10.595907211303711,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
