number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.49588650465011597,160,3,0.36599697090570255,0.0007661100707771367,32,29.75017889417361,49.30274039542826,-0.2818787028941776,-0.2818787028941776,-0.3802817281766513,65.7824498506275,7.999000000000001,-0.1840675370950835,14.37619337149478,19.0,0.49588650465011597
1,TrialState.COMPLETE,0.5052432417869568,288,2,0.35403628889802274,0.00010725209743172001,32,29.72838407392371,49.902769223551935,-0.3132702501643183,-0.3132702501643183,-0.3985505212718279,66.4455702201182,7.999000000000001,-0.21895358953247768,9.085150695327174,19.0,0.5052432417869568
2,TrialState.COMPLETE,0.5372249484062195,96,1,0.15212112147976886,0.0005958389350068958,128,30.24969783920131,50.94012052876288,-0.36843681650387716,-0.36843681650387716,-0.41305411820803384,67.86875363937781,7.999000000000001,-0.3490301829018554,6.9589777693639,19.0,0.5372249484062195
3,TrialState.COMPLETE,0.5530393719673157,96,1,0.18318092164684585,0.000471705203762518,32,30.692052132750216,50.63788743738758,-0.35224682881354696,-0.35224682881354696,-0.405572559357148,69.53580548167402,7.999000000000001,-0.35306167608015815,12.310089176710116,19.0,0.5530393719673157
4,TrialState.COMPLETE,0.46614718437194824,224,1,0.3037724259507192,0.0001786013788939711,128,29.012321916266668,49.07353927499933,-0.26998787907225585,-0.26998787907225585,-0.3380834167730338,63.680453039150386,7.999000000000001,-0.10623977887652969,9.761153219584159,19.0,0.46614718437194824
5,TrialState.COMPLETE,0.5348028540611267,288,1,0.048836057003191935,0.0010249322216924156,128,30.612392644803816,51.15018650076748,-0.37974635886000385,-0.37974635886000385,-0.38758410823661427,67.16258023891997,7.999000000000001,-0.31289379901443426,8.067845779767485,19.0,0.5348028540611267
6,TrialState.COMPLETE,0.5435081124305725,64,3,0.12938999080000846,0.0009519754482692679,128,30.92493887391809,50.93350976900286,-0.368081661472929,-0.368081661472929,-0.3522758377731552,67.94460508628057,7.999000000000001,-0.34438342728876403,12.288793057639294,19.0,0.5435081124305725
7,TrialState.COMPLETE,0.5631999969482422,96,3,0.3875664116805573,0.002442046084491142,128,30.88302811461932,51.45808194578571,-0.39640695113808966,-0.39640695113808966,-0.38623690386450793,68.83073585257547,7.999000000000001,-0.4128508252843379,9.458274885409523,19.0,0.5631999969482422
8,TrialState.COMPLETE,0.4781874418258667,64,1,0.022613644455269033,0.0003023795012558478,128,29.13874756875757,48.972356997372536,-0.2647562290253407,-0.2647562290253407,-0.3179402675350007,64.05378303198674,7.999000000000001,-0.13187027108671523,12.060959139747682,19.0,0.4781874418258667
9,TrialState.COMPLETE,0.4839543402194977,160,1,0.27134804157912423,0.00016149614799999194,128,29.135440353106144,48.62086095805348,-0.24666596574261335,-0.24666596574261335,-0.28896709100056395,64.45784850832221,7.999000000000001,-0.16579141334727687,11.548223960649826,19.0,0.4839543402194977
