number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.5820038318634033,160,3,0.36599697090570255,0.0007661100707771367,32,24.79474724974946,39.23337634182066,-0.3339421892895935,-0.3339421892895935,-0.07669249908466935,72.41632830424717,8.996000000000002,-0.8494014180111631,8.09823399182034,84.0,0.5820038318634033
1,TrialState.COMPLETE,0.4210609197616577,288,2,0.35403628889802274,0.00010725209743172001,32,22.80237114685991,38.442001998579734,-0.28067117285273313,-0.28067117285273313,-0.30288866960288274,59.85136612647308,8.996000000000002,-0.23777612117063818,8.553991519824582,84.0,0.4210609197616577
2,TrialState.COMPLETE,0.4375992715358734,96,1,0.15212112147976886,0.0005958389350068958,128,23.19784045458884,38.58860538676704,-0.2904577983550174,-0.2904577983550174,-0.309559100728489,61.871652261312995,8.996000000000002,-0.2661903416130791,10.060401807130383,84.0,0.4375992715358734
3,TrialState.COMPLETE,0.4992951452732086,96,1,0.18318092164684585,0.000471705203762518,32,23.769536694088124,38.68903438397312,-0.29718351575966384,-0.29718351575966384,-0.15183141114279186,67.32296999166996,8.996000000000002,-0.5238014949701268,6.687843345213753,84.0,0.4992951452732086
4,TrialState.COMPLETE,0.38340967893600464,224,1,0.3037724259507192,0.0001786013788939711,128,22.238075352070105,37.43895246221222,-0.2147111486226152,-0.2147111486226152,-0.24410105510428082,57.930253567031166,8.996000000000002,-0.07028349781163934,8.96774301048218,84.0,0.38340967893600464
5,TrialState.COMPLETE,0.485624760389328,288,1,0.048836057003191935,0.0010249322216924156,128,23.518442775440914,38.96743047748038,-0.3159190634531148,-0.3159190634531148,-0.17484442571583814,64.33874665557592,8.996000000000002,-0.4599415392317958,4.392914778838517,84.0,0.485624760389328
6,TrialState.COMPLETE,0.3968677520751953,64,3,0.12938999080000846,0.0009519754482692679,128,22.056661810916708,37.20420379755759,-0.19952600983359692,-0.19952600983359692,-0.1466109204561361,57.45985864787462,8.996000000000002,-0.18274857101855124,5.996961986663213,84.0,0.3968677520751953
7,TrialState.COMPLETE,0.4508318603038788,96,3,0.3875664116805573,0.002442046084491142,128,23.3546460536553,38.359723009957214,-0.27519489393716756,-0.27519489393716756,-0.29522792835387146,63.3919294252594,8.996000000000002,-0.300667235018252,11.849666367250093,84.0,0.4508318603038788
8,TrialState.COMPLETE,0.4068771004676819,64,1,0.022613644455269033,0.0003023795012558478,128,22.638173519378164,38.03216379964645,-0.2535097308701466,-0.2535097308701466,-0.25928583911494685,59.58569200472969,8.996000000000002,-0.1535427334542223,8.914389069550118,84.0,0.4068771004676819
9,TrialState.COMPLETE,0.3646015226840973,160,1,0.27134804157912423,0.00016149614799999194,128,21.875882319631366,37.20452924923488,-0.19954699614264326,-0.19954699614264326,-0.22435534540201774,56.202310922872336,8.996000000000002,-0.01338847630913298,8.600688605400398,84.0,0.3646015226840973
10,TrialState.COMPLETE,0.37364161014556885,192,2,0.4847685553939329,0.0001062996582408466,64,21.72981190258569,37.00384208983609,-0.1866408040121481,-0.1866408040121481,-0.20165027150086767,56.053424120947504,8.996000000000002,-0.07533530035424163,8.735283637457565,84.0,0.37364161014556885
11,TrialState.COMPLETE,0.36773017048835754,192,2,0.4838011058560939,0.00011280068885407921,64,21.898430722361933,37.2760553462031,-0.204163713039913,-0.204163713039913,-0.23082299776764326,56.07410026091383,8.996000000000002,-0.02698387517675438,8.20655901406092,84.0,0.36773017048835754
