number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.3408176302909851,160,3,0.36599697090570255,0.0007661100707771367,32,20.581144305758233,35.091943072593544,-0.06718686757921466,-0.06718686757921466,0.0710754008204092,52.69515900335704,8.996000000000002,0.05005595550623765,7.681980585189193,84.0,0.3408176302909851
1,TrialState.COMPLETE,0.2687334716320038,288,2,0.35403628889802274,0.00010725209743172001,32,18.75715868961028,32.905309381480215,0.06166568903573211,0.06166568903573211,0.09131905921607264,47.377571523184244,8.996000000000002,0.2772205502091336,5.560990962828655,84.0,0.2687334716320038
2,TrialState.COMPLETE,0.287777841091156,96,1,0.15212112147976886,0.0005958389350068958,128,19.645304224940116,33.67390341915518,0.01731898911946983,0.01731898911946983,0.06400045950162792,50.08269088614864,8.996000000000002,0.23786912947377814,8.073090143012127,84.0,0.287777841091156
3,TrialState.COMPLETE,0.2683066129684448,96,1,0.18318092164684585,0.000471705203762518,32,18.866848786813502,32.72990371053736,0.07164283141244476,0.07164283141244476,0.09939006611907875,47.878037359864635,8.996000000000002,0.28564224930726934,6.538665826086044,84.0,0.2683066129684448
4,TrialState.COMPLETE,0.2611817717552185,224,1,0.3037724259507192,0.0001786013788939711,128,18.45707038304406,32.33788714329354,0.09374811666102967,0.09374811666102967,0.1393959883461927,46.62990281197328,8.996000000000002,0.2955061089907165,4.685889735830383,84.0,0.2611817717552185
5,TrialState.COMPLETE,0.3422323763370514,288,1,0.048836057003191935,0.0010249322216924156,128,20.357949731097605,35.277121908886656,-0.07847959306472818,-0.07847959306472818,-0.0049159048482290135,52.22941697191398,8.996000000000002,0.029765105387081103,3.3610962570370138,84.0,0.3422323763370514
6,TrialState.COMPLETE,0.31490039825439453,64,3,0.12938999080000846,0.0009519754482692679,128,20.220009020659173,35.27477320214376,-0.07833599019509596,-0.07833599019509596,-0.032688581016366625,50.54418075190933,8.996000000000002,0.1366089964874756,4.687769405407489,84.0,0.31490039825439453
7,TrialState.COMPLETE,0.3857298195362091,96,3,0.3875664116805573,0.002442046084491142,128,21.92134907563063,36.8145995137449,-0.17453456165737546,-0.17453456165737546,-0.1109185989137329,56.639802962518225,8.996000000000002,-0.08372809468541509,3.341294681936676,84.0,0.3857298195362091
8,TrialState.COMPLETE,0.26418283581733704,64,1,0.022613644455269033,0.0003023795012558478,128,18.635659749316474,32.595109477165124,0.0792737436560782,0.0792737436560782,0.10921784821636726,47.071771633745016,8.996000000000002,0.29185145276164337,5.52300322572776,84.0,0.26418283581733704
9,TrialState.COMPLETE,0.26466256380081177,160,1,0.27134804157912423,0.00016149614799999194,128,18.72925491086584,32.720813188844424,0.07215845034493118,0.07215845034493118,0.09822223978477507,47.29469843187616,8.996000000000002,0.29151245136724635,5.516143940574259,84.0,0.26466256380081177
10,TrialState.COMPLETE,0.28342771530151367,224,2,0.4847685553939329,0.00023373668585598394,64,18.704899426147016,33.038493547888436,0.054054504953503946,0.054054504953503946,0.11701202725207205,47.11202495079368,8.996000000000002,0.20634903974448504,2.797581720576099,84.0,0.28342771530151367
11,TrialState.COMPLETE,0.26488590240478516,224,2,0.020662954183163225,0.0002984908637114654,64,18.701368417040275,32.54983709628824,0.08182961922651844,0.08182961922651844,0.103015579128242,47.271446415388866,8.996000000000002,0.2864998100672015,5.3254893853079945,84.0,0.26488590240478516
12,TrialState.COMPLETE,0.2795645594596863,224,1,0.2590397910150486,0.00030329957045404136,128,18.63705465284055,33.04901170406739,0.053452105439119824,0.053452105439119824,0.10754566943045618,46.757492506603526,8.996000000000002,0.21872840386467707,3.5589334043995895,84.0,0.2795645594596863
13,TrialState.COMPLETE,0.25854212045669556,320,1,0.0873489663206011,0.00010263683043323413,128,18.485190382129083,32.21494745080416,0.10062565594806105,0.10062565594806105,0.13167412105069498,46.81416795532976,8.996000000000002,0.30925180252903917,5.606178468405202,84.0,0.25854212045669556
14,TrialState.COMPLETE,0.26066523790359497,320,2,0.20852803248827267,0.00011775163468870734,128,18.500697234202477,32.522129567671314,0.08339210964573474,0.08339210964573474,0.11260360388373769,46.72077869118609,8.996000000000002,0.301130671445641,5.434534567840677,84.0,0.26066523790359497
15,TrialState.COMPLETE,0.2654809057712555,320,2,0.11356950582543929,0.00013034256702585092,64,18.674075314619248,32.73787467327754,0.0711905965667271,0.0711905965667271,0.10096468885643894,46.94570215991314,8.996000000000002,0.2831457286422988,4.697428070265102,84.0,0.2654809057712555
16,TrialState.COMPLETE,0.259816974401474,320,2,0.20019683133279123,0.00010678764914365706,128,18.487837074460774,32.42091218451489,0.08908867876074622,0.08908867876074622,0.11641905519059337,46.73115422908395,8.996000000000002,0.301684142882475,5.356372349513594,84.0,0.259816974401474
17,TrialState.COMPLETE,0.3269900679588318,288,3,0.08958265858020867,0.0018266145263423652,128,19.671191825985034,33.82704706150497,0.008360505575221944,0.008360505575221944,0.12639287552371414,51.06938951573204,8.996000000000002,0.08163561011034803,3.9486008146911145,84.0,0.3269900679588318
18,TrialState.COMPLETE,0.27930864691734314,256,2,0.20760330818165001,0.00019998322303830645,32,19.1421185497089,33.256358251320094,0.04153773358753088,0.04153773358753088,0.08275067273790815,48.34294271770242,8.996000000000002,0.24897678018875524,5.435425250498166,84.0,0.27930864691734314
19,TrialState.COMPLETE,0.2679784297943115,320,2,0.07623129361311243,0.00010380836837556018,64,18.58472787731059,32.7072464074893,0.07292769857645287,0.07292769857645287,0.11429018522621082,46.6019318628681,8.996000000000002,0.2680006651545559,3.8675093622115186,84.0,0.2679784297943115
20,TrialState.COMPLETE,0.2671610414981842,256,2,0.16554001546044445,0.0003933135752632036,128,18.735949616808092,32.296141064346,0.0960864291731589,0.0960864291731589,0.13538643172466402,47.66712269760924,8.996000000000002,0.2828183440251686,4.9943345110799955,84.0,0.2671610414981842
21,TrialState.COMPLETE,0.2721347212791443,320,2,0.2221060528614578,0.00014114878521220126,128,18.700553700109467,33.04390683888172,0.053744497009135306,0.053744497009135306,0.09325586210369374,46.76217113727418,8.996000000000002,0.2562528103490209,3.950375618269669,84.0,0.2721347212791443
22,TrialState.COMPLETE,0.2656913995742798,320,2,0.3100744538922787,0.00010133700393857722,128,18.82938384289985,32.86705470778347,0.06384617649935409,0.06384617649935409,0.0830384692099756,47.59180892366383,8.996000000000002,0.29096682955350317,5.857934436530177,84.0,0.2656913995742798
23,TrialState.COMPLETE,0.2637331783771515,288,3,0.21615534292878738,0.0001372400004660001,128,18.55284773825555,32.63676005155509,0.07691920155440779,0.07691920155440779,0.10517641270773648,46.67965221845761,8.996000000000002,0.2894143090564971,4.833580694345681,84.0,0.2637331783771515
24,TrialState.COMPLETE,0.26411154866218567,256,1,0.14079671990765266,0.0002455070404860966,128,18.641897373986072,32.721401923899826,0.07212506133609076,0.07212506133609076,0.09825439824465221,46.91487131603228,8.996000000000002,0.2896869245008067,5.197663597902543,84.0,0.26411154866218567
25,TrialState.COMPLETE,0.26883718371391296,320,2,0.08523063926605648,0.00017737721634133985,128,18.859128680605085,33.163396435837065,0.046888641831716926,0.046888641831716926,0.07184001199412848,47.15870865830148,8.996000000000002,0.2744781604552502,4.81484684258678,84.0,0.26883718371391296
26,TrialState.COMPLETE,0.27522510290145874,288,3,0.18973028109067683,0.00012603135203369123,128,18.60710998371918,32.9469757650564,0.059287850846925005,0.059287850846925005,0.10716504034597052,46.69877629803787,8.996000000000002,0.24049424136768127,3.491426056215956,84.0,0.27522510290145874
27,TrialState.COMPLETE,0.2744320034980774,192,2,0.23899779602871093,0.0002182434926311685,128,19.14850716389009,33.29835722422187,0.03911534874198319,0.03911534874198319,0.04996979088973563,48.67759120076076,8.996000000000002,0.27168797851839643,7.032125041737164,84.0,0.2744320034980774
28,TrialState.COMPLETE,0.2602005898952484,256,1,0.29664838981599345,0.00010059781529191617,32,18.468417880726555,32.42818597309453,0.08867989818169997,0.08867989818169997,0.12176986156609237,46.49904061936062,8.996000000000002,0.29844316626462564,4.794567782326224,84.0,0.2602005898952484
29,TrialState.COMPLETE,0.28543880581855774,256,1,0.43657121426093604,0.00015410150189628665,32,19.15750565284534,33.68655895714436,0.016580215614984017,0.016580215614984017,0.05794104383277965,48.18044331452083,8.996000000000002,0.22208375835861316,4.61815727587638,84.0,0.28543880581855774
