number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.3737390637397766,160,3,0.36599697090570255,0.0007661100707771367,32,21.45277548283208,36.54687959662417,-0.15751397986704796,-0.15751397986704796,-0.06453880983720661,55.452961672892506,8.996000000000002,-0.07963408393762572,6.9813017930211085,84.0,0.3737390637397766
1,TrialState.COMPLETE,0.34996888041496277,288,2,0.35403628889802274,0.00010725209743172001,32,20.885662239485416,35.84552467416715,-0.11351359350936141,-0.11351359350936141,-0.07670987871579737,53.800843758533304,8.996000000000002,-0.006650392039907249,6.797667102615979,84.0,0.34996888041496277
2,TrialState.COMPLETE,0.4034772217273712,96,1,0.15212112147976886,0.0005958389350068958,128,22.78584848900955,37.46576655658466,-0.21645174450899818,-0.21645174450899818,-0.18477190714545966,60.15034071496564,8.996000000000002,-0.12079471897275118,10.00726716582411,84.0,0.4034772217273712
3,TrialState.COMPLETE,0.45456525683403015,96,1,0.18318092164684585,0.000471705203762518,32,23.467366422625354,39.00631944055371,-0.31854691256085776,-0.31854691256085776,-0.2811041780028385,61.50295061535549,8.996000000000002,-0.37526188244286884,18.490557636506384,84.0,0.45456525683403015
4,TrialState.COMPLETE,0.3262706696987152,224,1,0.3037724259507192,0.0001786013788939711,128,20.64458893092357,35.34183311995382,-0.08243987819011789,-0.08243987819011789,-0.07498459923954326,52.77830973348274,8.996000000000002,0.10075354915759271,7.106192415482229,84.0,0.3262706696987152
5,TrialState.COMPLETE,0.4323456883430481,288,1,0.048836057003191935,0.0010249322216924156,128,22.938856783275185,38.914521897626045,-0.3123480739414133,-0.3123480739414133,-0.2687895747906126,59.773355739450665,8.996000000000002,-0.27444958018204546,5.244246374546997,84.0,0.4323456883430481
6,TrialState.COMPLETE,0.35397058725357056,64,3,0.12938999080000846,0.0009519754482692679,128,21.667784994292433,35.81112729000399,-0.11137756242001773,-0.11137756242001773,0.07666591477909235,54.150512697227036,8.996000000000002,0.015830960784603554,13.909882800603395,84.0,0.35397058725357056
7,TrialState.COMPLETE,0.42077937722206116,96,3,0.3875664116805573,0.002442046084491142,128,22.42278380327851,37.49463183821645,-0.21832688289872992,-0.21832688289872992,-0.2212444515224956,59.60092345561586,8.996000000000002,-0.23332652082851757,13.12659627318969,84.0,0.42077937722206116
8,TrialState.COMPLETE,0.3443780243396759,64,1,0.022613644455269033,0.0003023795012558478,128,21.288645376943325,35.78504353391901,-0.10975916355216486,-0.10975916355216486,-0.052742274434825376,54.65189063309953,8.996000000000002,0.06082773135076014,8.822762033173323,84.0,0.3443780243396759
9,TrialState.COMPLETE,0.32429173588752747,160,1,0.27134804157912423,0.00016149614799999194,128,20.621978153876146,35.31798859989454,-0.0809797641980472,-0.0809797641980472,-0.08039175419211286,52.848384913634916,8.996000000000002,0.11380550716099191,8.062298215933925,84.0,0.32429173588752747
10,TrialState.COMPLETE,0.33131125569343567,192,2,0.4847685553939329,0.0001062996582408466,64,20.66489614885567,35.33146785202238,-0.08180504218619866,-0.08180504218619866,-0.07172296525509525,53.163035418263036,8.996000000000002,0.07540193701041353,7.4653649556065185,84.0,0.33131125569343567
11,TrialState.COMPLETE,0.3648108243942261,224,2,0.25593379523988913,0.00020313025191944355,64,21.578206386465226,36.80080342127374,-0.1736544243502003,-0.1736544243502003,-0.12355592871711707,54.96364752732325,8.996000000000002,-0.05499096502876122,6.418085185927286,84.0,0.3648108243942261
12,TrialState.COMPLETE,0.35432061553001404,224,1,0.269435421640578,0.0002200350195723002,128,21.533638021719717,36.18625592028803,-0.13478331249431408,-0.13478331249431408,-0.05201345373014976,55.033602553219254,8.996000000000002,0.010505759970575235,7.225303690220233,84.0,0.35432061553001404
13,TrialState.COMPLETE,0.33125850558280945,160,1,0.29584181796502984,0.00017258562629785535,128,21.27770158525453,36.06082333570695,-0.12692993803551778,-0.12692993803551778,-0.01778478334855249,53.08956943118777,8.996000000000002,0.08960007029701145,7.407988790913957,84.0,0.33125850558280945
14,TrialState.COMPLETE,0.39584383368492126,256,2,0.45594489115402526,0.0003610811628974879,128,21.99788623532762,37.494192254524165,-0.21829831595653437,-0.21829831595653437,-0.07546089121142896,55.94263351937777,8.996000000000002,-0.19241564176394044,4.594389722301503,84.0,0.39584383368492126
15,TrialState.COMPLETE,0.36328640580177307,160,2,0.2148384331283203,0.0001516742096109423,64,20.737602002011595,35.89116687217985,-0.11635107824684043,-0.11635107824684043,-0.05351628854203372,53.670513611608364,8.996000000000002,-0.0897435168297156,4.980599177512368,84.0,0.36328640580177307
16,TrialState.COMPLETE,0.37512221932411194,320,1,0.318347963953445,0.0002871141193726388,128,21.843168727686805,37.233108104771276,-0.20139058066478444,-0.20139058066478444,-0.16983876225792383,56.28738906516033,8.996000000000002,-0.058967943824481006,6.991244505345074,84.0,0.37512221932411194
17,TrialState.COMPLETE,0.4412238895893097,192,1,0.10681884278445877,0.0017080659935001274,128,22.927031088797715,37.777930509939274,-0.23680709189262128,-0.23680709189262128,-0.18411424975942836,62.78954365782914,8.996000000000002,-0.27995566324358623,11.088294599511213,84.0,0.4412238895893097
18,TrialState.COMPLETE,0.36945459246635437,128,1,0.4264342202471388,0.00013917452221623536,32,21.52355742407193,36.87513794195003,-0.17840057893091488,-0.17840057893091488,-0.1383138726868236,55.05408728924151,8.996000000000002,-0.05889386613656944,5.952472788607139,84.0,0.36945459246635437
19,TrialState.COMPLETE,0.37025073170661926,224,2,0.21888348870491614,0.0002319244614145839,64,21.763942904249596,37.12121407182432,-0.19418052220346915,-0.19418052220346915,-0.12812670679123528,55.00632678555358,8.996000000000002,-0.06452545176713809,6.3914937595468455,84.0,0.37025073170661926
20,TrialState.COMPLETE,0.37428176403045654,192,2,0.3276551058859285,0.0004157239336652284,128,21.68667611663011,37.083430819295316,-0.19175080307900227,-0.19175080307900227,-0.15680902736470514,56.24946583892974,8.996000000000002,-0.05879836433103369,7.796753182348385,84.0,0.37428176403045654
21,TrialState.COMPLETE,0.3226393461227417,160,1,0.29360195952251894,0.00015779450890731595,128,20.45203788441289,34.92646385553307,-0.05714576687242423,-0.05714576687242423,-0.046235702879077856,52.90818974023664,8.996000000000002,0.12182963040371764,8.664453786797512,84.0,0.3226393461227417
