number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.5604584217071533,160,3,0.36599697090570255,0.0007661100707771367,32,31.996658917062323,52.35479059767446,-0.43332888442578343,-0.43332888442578343,-0.38428935535683983,69.80440779425831,7.999000000000001,-0.3990604199144503,8.815197019705584,19.0,0.5604584217071533
1,TrialState.COMPLETE,0.5433552265167236,288,2,0.35403628889802274,0.00010725209743172001,32,30.895191510290847,51.030838037227866,-0.36175318579672355,-0.36175318579672355,-0.39410541489831963,69.21816714453523,7.999000000000001,-0.35732481586371856,7.324549733137233,19.0,0.5433552265167236
2,TrialState.COMPLETE,0.49750927090644836,96,1,0.15212112147976886,0.0005958389350068958,128,30.203100040971187,49.40975850042998,-0.2766106449983292,-0.2766106449983292,-0.29689582984623275,66.29691876219901,7.999000000000001,-0.20190230531415776,10.39617617420943,19.0,0.49750927090644836
3,TrialState.COMPLETE,0.5331437587738037,96,1,0.18318092164684585,0.000471705203762518,32,30.75237206167924,51.063824683557556,-0.3635142459960716,-0.3635142459960716,-0.4035806407212996,68.12720541971653,7.999000000000001,-0.3233665797879013,8.048987715218368,19.0,0.5331437587738037
4,TrialState.COMPLETE,0.45820853114128113,224,1,0.3037724259507192,0.0001786013788939711,128,29.36719652770193,48.435773266675426,-0.22677657364578008,-0.22677657364578008,-0.28834933678479024,63.790152725777325,7.999000000000001,-0.07332043038486158,12.730004696628173,19.0,0.45820853114128113
5,TrialState.COMPLETE,0.5703818798065186,288,1,0.048836057003191935,0.0010249322216924156,128,31.528976373545333,51.60206809230479,-0.39241025788982076,-0.39241025788982076,-0.31976427514477446,69.6389485124864,7.999000000000001,-0.4485561735941279,16.05865974868975,19.0,0.5703818798065186
6,TrialState.COMPLETE,0.5385419726371765,64,3,0.12938999080000846,0.0009519754482692679,128,30.71345414428711,51.47025117019178,-0.38530555020303403,-0.38530555020303403,-0.37377104501357583,67.75931740200922,7.999000000000001,-0.369597458972478,5.124718299499215,19.0,0.5385419726371765
7,TrialState.COMPLETE,0.5958757400512695,96,3,0.3875664116805573,0.002442046084491142,128,32.897848157233526,51.24218332497783,-0.3730560017060136,-0.3730560017060136,-0.2703717156265333,74.17739136448654,7.999000000000001,-0.45975249209349944,9.277819038185543,19.0,0.5958757400512695
8,TrialState.COMPLETE,0.4729241728782654,64,1,0.022613644455269033,0.0003023795012558478,128,29.468295659409907,48.922566029742,-0.2515593677891168,-0.2515593677891168,-0.26279699861930106,64.09289129368408,7.999000000000001,-0.12366231678226924,10.112849316587669,19.0,0.4729241728782654
9,TrialState.COMPLETE,0.4574924409389496,160,1,0.27134804157912423,0.00016149614799999194,128,29.28870218218084,48.57375514279637,-0.23377611265302978,-0.23377611265302978,-0.29065259069434846,63.435716929507194,7.999000000000001,-0.07669490207699936,11.692356487163533,19.0,0.4574924409389496
10,TrialState.COMPLETE,0.48496854305267334,192,2,0.4847685553939329,0.0001062996582408466,64,29.738508241298735,49.614656278514595,-0.28722057533666656,-0.28722057533666656,-0.3155449815241169,64.97760623751329,7.999000000000001,-0.18515299859202927,8.277990648505662,19.0,0.48496854305267334
11,TrialState.COMPLETE,0.49547064304351807,224,2,0.25593379523988913,0.00020313025191944355,64,30.211470136702687,49.84633857649821,-0.2992703423617422,-0.2992703423617422,-0.3451497891472637,66.51444232170446,7.999000000000001,-0.1899028838270047,10.623952438145443,19.0,0.49547064304351807
12,TrialState.COMPLETE,0.46738505363464355,224,1,0.269435421640578,0.0002200350195723002,128,29.666649951586813,48.88936278973053,-0.24986110346270407,-0.24986110346270407,-0.30159536509871243,64.49198378873649,7.999000000000001,-0.10139402062177427,11.38455819332221,19.0,0.46738505363464355
