number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.40884485840797424,160,3,0.36599697090570255,0.0007661100707771367,32,26.732729114110064,44.21743650760475,-0.03342929147697982,-0.03342929147697982,0.04892837147822371,59.85137565527563,7.999000000000001,0.07797809276275036,6.116316425697465,19.0,0.40884485840797424
1,TrialState.COMPLETE,0.36376962065696716,288,2,0.35403628889802274,0.00010725209743172001,32,25.646578538884906,45.742273643578365,-0.10593382336945023,-0.10593382336945023,-0.05864979703077022,52.86265390159729,7.999000000000001,0.14719085799289033,3.625110078180238,19.0,0.36376962065696716
2,TrialState.COMPLETE,0.34246835112571716,96,1,0.15212112147976886,0.0005958389350068958,128,25.048045273074095,44.508718195465725,-0.04708953645209868,-0.04708953645209868,-0.010502869528791425,52.09500705084569,7.999000000000001,0.20128194815369138,3.859060573075988,19.0,0.34246835112571716
3,TrialState.COMPLETE,0.36425942182540894,96,1,0.18318092164684585,0.000471705203762518,32,25.87566691686835,45.245068403282076,-0.08202213065888864,-0.08202213065888864,-0.04180196684031334,54.63968216694221,7.999000000000001,0.1660569486488549,4.083935303856551,19.0,0.36425942182540894
4,TrialState.COMPLETE,0.3317585289478302,224,1,0.3037724259507192,0.0001786013788939711,128,24.896799845342944,44.72209032530515,-0.05715296959489624,-0.05715296959489624,-0.032293788871756934,51.54780822157352,7.999000000000001,0.23128527916480868,5.149625593617168,19.0,0.3317585289478302
5,TrialState.COMPLETE,0.3430628478527069,288,1,0.048836057003191935,0.0010249322216924156,128,25.138762467223497,44.631123852430605,-0.05285676277307361,-0.05285676277307361,0.005841307327828504,52.124654813506574,7.999000000000001,0.19959665674970728,3.6513501477988086,19.0,0.3430628478527069
6,TrialState.COMPLETE,0.333332896232605,64,3,0.12938999080000846,0.0009519754482692679,128,24.34152382617021,42.96052364244892,0.02448763671429588,0.02448763671429588,0.10740054597201376,51.38787794177176,7.999000000000001,0.22149412840571614,3.608940557214706,19.0,0.333332896232605
7,TrialState.COMPLETE,0.3246616721153259,96,3,0.3875664116805573,0.002442046084491142,128,23.858868001804645,42.9590815256338,0.024553128428600024,0.024553128428600024,0.12681750298058203,49.685415070237056,7.999000000000001,0.2376646656544228,3.396352260461385,19.0,0.3246616721153259
8,TrialState.COMPLETE,0.3148772120475769,64,1,0.022613644455269033,0.0003023795012558478,128,24.31694801810165,44.09504828033345,-0.027716407633201934,-0.027716407633201934,-0.005707763790768539,49.770163596119616,7.999000000000001,0.26005431068947105,4.531789588373865,19.0,0.3148772120475769
9,TrialState.COMPLETE,0.3215634822845459,160,1,0.27134804157912423,0.00016149614799999194,128,24.66039534847903,44.185884568999946,-0.031954983300809925,-0.031954983300809925,-0.014077282658497614,50.905809265903216,7.999000000000001,0.2520866365362958,4.729114049122548,19.0,0.3215634822845459
10,TrialState.COMPLETE,0.3741815686225891,192,2,0.4847685553939329,0.0003253425182484388,64,25.987072543558515,45.82299485707463,-0.10984054170288648,-0.10984054170288648,-0.058360868275745936,54.438584214339095,7.999000000000001,0.12945479971858598,4.203558022059011,19.0,0.3741815686225891
11,TrialState.COMPLETE,0.3483405113220215,160,2,0.005439474756386554,0.00023526568654454262,64,25.457711979100814,45.09034807453347,-0.07463460374798747,-0.07463460374798747,-0.04885053272600648,53.31148985999141,7.999000000000001,0.19677255723309017,4.992654600005153,19.0,0.3483405113220215
12,TrialState.COMPLETE,0.3214297294616699,224,1,0.23126164616691092,0.00011597068738773568,128,24.565421353133818,44.419736367990474,-0.042907038748827286,-0.042907038748827286,-0.025836045407486408,50.683079023788004,7.999000000000001,0.2504423474416857,5.334613990882336,19.0,0.3214297294616699
13,TrialState.COMPLETE,0.3272136151790619,224,1,0.07805459570824749,0.00010367543034799637,128,24.910949920589314,44.89083256822062,-0.06514557008955268,-0.06514557008955268,-0.0542317449582701,51.39234175831165,7.999000000000001,0.2368463041979606,5.312304378026614,19.0,0.3272136151790619
14,TrialState.COMPLETE,0.3272741436958313,320,2,0.2072811263046407,0.00033266640675826484,128,24.647169403635054,43.9165842499687,-0.01941437533246959,-0.01941437533246959,0.029745350023047235,51.19380850288625,7.999000000000001,0.23741030345390546,3.916774106110755,19.0,0.3272741436958313
15,TrialState.COMPLETE,0.35347089171409607,224,2,0.49800826587371766,0.00017129518609231218,64,25.52268539220755,45.50685910340266,-0.0945796460095285,-0.0945796460095285,-0.05927898728344183,52.79334816537459,7.999000000000001,0.17630521561213042,4.161079738643333,19.0,0.35347089171409607
16,TrialState.COMPLETE,0.337383508682251,256,1,0.09880083193603495,0.0019497872856607962,128,24.7768784286655,43.86729047080204,-0.017127194479026997,-0.017127194479026997,0.06525847242053873,51.47117288000111,7.999000000000001,0.21715618617972665,3.8966205909368994,19.0,0.337383508682251
17,TrialState.COMPLETE,0.32896241545677185,128,1,0.014939479136402173,0.00030970701521729866,128,24.57039990286364,44.47573822115662,-0.04553837104800573,-0.04553837104800573,-0.011023480759435156,50.49056226380014,7.999000000000001,0.2282104177594878,4.398181661925074,19.0,0.32896241545677185
18,TrialState.COMPLETE,0.3417912721633911,64,1,0.2299820798583574,0.00013142041402678642,32,25.315822742962553,44.805209640195365,-0.06108621538993564,-0.06108621538993564,-0.03559704886105619,52.92523246967067,7.999000000000001,0.2106364302267527,4.923447373894193,19.0,0.3417912721633911
19,TrialState.COMPLETE,0.3463089168071747,192,2,0.28546612925699455,0.000260449140872247,64,25.096390599460374,44.83021406008014,-0.062270865513578855,-0.062270865513578855,-0.011673733107198103,51.89460855793764,7.999000000000001,0.18301659748407795,3.485285230565822,19.0,0.3463089168071747
20,TrialState.COMPLETE,0.34839290380477905,256,2,0.41919048098657274,0.00047309070233291075,128,25.122310886012635,45.02479144458714,-0.07151206364701457,-0.07151206364701457,-0.010860631527470188,51.96877877703637,7.999000000000001,0.1745134983694695,4.649782373551238,19.0,0.34839290380477905
21,TrialState.COMPLETE,0.33026063442230225,160,1,0.2665930727286179,0.00016772611948636445,128,24.948398259372485,44.830442487169144,-0.062281690893953634,-0.062281690893953634,-0.045132988421894726,51.692486862827536,7.999000000000001,0.2376676517124804,5.505629744342965,19.0,0.33026063442230225
22,TrialState.COMPLETE,0.32380756735801697,128,1,0.31780340735758306,0.00021076031930673185,128,24.78127574100527,44.486944617949625,-0.046065318747009254,-0.046065318747009254,-0.027994182663121148,50.90807054166484,7.999000000000001,0.24899616689638837,4.348626805285561,19.0,0.32380756735801697
23,TrialState.COMPLETE,0.3195481598377228,128,1,0.1743838846870212,0.00013777919805613671,128,24.558031065581805,44.2776288261847,-0.03624478006871512,-0.03624478006871512,-0.019518492039975355,50.62840974977129,7.999000000000001,0.25338290701937793,4.859315962187478,19.0,0.3195481598377228
24,TrialState.COMPLETE,0.3227846324443817,128,1,0.17013122805918032,0.00012633813067160308,128,24.922682954583504,44.745376402942874,-0.05825414151110242,-0.05825414151110242,-0.054465795479169854,51.54026150248106,7.999000000000001,0.2582215788382364,5.887497446144617,19.0,0.3227846324443817
25,TrialState.COMPLETE,0.3303624391555786,64,1,0.21890888145570295,0.00013325388949461263,128,25.287023876430634,45.40970372847273,-0.08991086519172953,-0.08991086519172953,-0.09188749263868545,52.0670256815026,7.999000000000001,0.23926170488834986,5.969238354040453,19.0,0.3303624391555786
26,TrialState.COMPLETE,0.3370632827281952,96,1,0.12394247593810227,0.00039108913612204843,128,24.899443846434508,44.812331774340024,-0.061423577900379334,-0.061423577900379334,-0.023975592832775616,51.24923295503321,7.999000000000001,0.21070390721404908,4.160537352113625,19.0,0.3370632827281952
27,TrialState.COMPLETE,0.32658952474594116,128,2,0.05390240060183423,0.00022119314623886564,128,24.844936481937236,44.81199320167365,-0.06140753911645036,-0.06140753911645036,-0.047950830190758964,51.301115576773334,7.999000000000001,0.2393332660212193,5.030417382344164,19.0,0.32658952474594116
28,TrialState.COMPLETE,0.33532091975212097,192,1,0.18998668826527257,0.0001009130243772156,32,24.878129574296423,44.60755093704765,-0.05174487730342525,-0.05174487730342525,-0.020485847562188075,51.435912552626505,7.999000000000001,0.21690571069806397,4.450121655827769,19.0,0.33532091975212097
29,TrialState.COMPLETE,0.3756024241447449,64,3,0.2516956174961072,0.0006148826383077502,64,25.58995879249638,44.75847339658307,-0.0588737351890285,-0.0588737351890285,0.004666668599441204,54.13256763134064,7.999000000000001,0.12360012357346095,3.2879917039270916,19.0,0.3756024241447449
