number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.44965070486068726,160,3,0.36599697090570255,0.0007661100707771367,32,22.968400190861555,38.203561608501474,-0.26483345923070045,-0.26483345923070045,-0.1727129954758595,61.53497836212208,8.996000000000002,-0.31781040550186823,8.823658498887522,84.0,0.44965070486068726
1,TrialState.COMPLETE,0.4074336290359497,288,2,0.35403628889802274,0.00010725209743172001,32,22.502342246595088,38.326151792224124,-0.27296385006267276,-0.27296385006267276,-0.26554345274377433,58.04694884978743,8.996000000000002,-0.1945687397849123,6.924094051377796,84.0,0.4074336290359497
2,TrialState.COMPLETE,0.44007304310798645,96,1,0.15212112147976886,0.0005958389350068958,128,23.267716763113533,38.878493303833174,-0.3099191520082334,-0.3099191520082334,-0.32461729103883563,61.9011806453946,8.996000000000002,-0.2829965869312192,8.485966838844696,84.0,0.44007304310798645
3,TrialState.COMPLETE,0.4965547025203705,96,1,0.18318092164684585,0.000471705203762518,32,24.064386415206602,39.32641271411972,-0.34027619887943494,-0.34027619887943494,-0.2396459129966242,65.88487440274983,8.996000000000002,-0.5111553613931228,6.086923311245092,84.0,0.4965547025203705
4,TrialState.COMPLETE,0.38341647386550903,224,1,0.3037724259507192,0.0001786013788939711,128,22.25723508650369,37.449073336089796,-0.21536798324189488,-0.21536798324189488,-0.25154204518324574,58.0196821195895,8.996000000000002,-0.06884631266595687,9.214701228302268,84.0,0.38341647386550903
5,TrialState.COMPLETE,0.523403525352478,288,1,0.048836057003191935,0.0010249322216924156,128,24.178078461956805,40.24538525843912,-0.40364673009735985,-0.40364673009735985,-0.31194380222414164,66.47804141921767,8.996000000000002,-0.6381678818084358,3.5730220412738296,84.0,0.523403525352478
6,TrialState.COMPLETE,0.4273052215576172,64,3,0.12938999080000846,0.0009519754482692679,128,22.653580058974942,38.05784302387971,-0.2552030357605817,-0.2552030357605817,-0.18476465219238847,59.69344419090851,8.996000000000002,-0.2779100080326511,5.928233783695946,84.0,0.4273052215576172
7,TrialState.COMPLETE,0.4496617913246155,96,3,0.3875664116805573,0.002442046084491142,128,23.495562811242404,37.34413131528838,-0.20856597420396827,-0.20856597420396827,-0.053123496006398874,64.2912713104861,8.996000000000002,-0.27144316632998255,16.506117877275006,84.0,0.4496617913246155
8,TrialState.COMPLETE,0.408378541469574,64,1,0.022613644455269033,0.0003023795012558478,128,22.64204953618293,38.063657353216875,-0.2555865951400711,-0.2555865951400711,-0.2607403644165225,59.647632450973,8.996000000000002,-0.16026869850979053,8.862207466255704,84.0,0.408378541469574
9,TrialState.COMPLETE,0.36556050181388855,160,1,0.27134804157912423,0.00016149614799999194,128,21.889972559740944,37.209497493077976,-0.19986738938613957,-0.19986738938613957,-0.22528948732774245,56.318443286290886,8.996000000000002,-0.016515259375394775,8.747259760221358,84.0,0.36556050181388855
