number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,11.609230041503906,32,8,0.18033450352296262,0.0011114989443094978,64,11.609230041503906,19.077795028686523,0.8105865716934204,0.8105865716934204,0.8321260007149509,24.543048858642578,7.999,0.8606821298599243,0.8606159687042236,570.0,11.609230041503906,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,14.188604354858398,96,8,0.04184815819561255,0.00027010527749605503,128,14.188604354858398,23.341552734375,0.7164602279663086,0.7164602279663086,0.6831831798367138,30.388689041137695,7.999,0.7960187196731567,1.0625489950180054,570.0,14.188604354858398,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,12.670406341552734,64,8,0.2896896099223678,0.0015635108708133452,128,12.67040729522705,21.857131958007812,0.751377284526825,0.751377284526825,0.7091571751526852,26.860015869140625,7.999,0.8323639631271362,1.9877272844314575,570.0,12.670406341552734,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,13.907376289367676,64,1,0.15602040635334324,0.000642033033629786,64,13.907376289367676,22.63983917236328,0.7332520484924316,0.7332520484924316,0.7505246074709003,29.101762771606445,7.999,0.8088465929031372,1.3659149408340454,570.0,13.907376289367676,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,9.909936904907227,16,8,0.1166031869068446,0.0002516607127550297,32,9.90993595123291,17.61713981628418,0.8384804129600525,0.8384804129600525,0.8318346670911337,21.12786865234375,7.999,0.8855142593383789,1.1416152715682983,570.0,9.909936904907227,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,12.561921119689941,64,1,0.24463842853645024,0.0011069143219393448,64,12.561922073364258,21.52541732788086,0.7588664889335632,0.7588664889335632,0.7788456889486941,25.079345703125,7.999,0.8475322723388672,1.3696151971817017,570.0,12.561921119689941,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,12.901768684387207,64,1,0.21888185350141923,0.000874479618932312,32,12.901768684387207,22.392597198486328,0.7390463352203369,0.7390463352203369,0.7268373515584365,26.268444061279297,7.999,0.8216350078582764,1.1989015340805054,570.0,12.901768684387207,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,12.915706634521484,96,2,0.032367428097991334,0.00011128194768838959,32,12.915705680847168,22.458192825317383,0.7375153303146362,0.7375153303146362,0.7229402719395466,27.385473251342773,7.999,0.8177793025970459,1.6358928680419922,570.0,12.915706634521484,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,13.150525093078613,16,4,0.2789092957027719,0.0015620386984526499,64,13.150524139404297,22.895658493041992,0.7271897196769714,0.7271897196769714,0.7527802461359483,27.5031681060791,7.999,0.8126898407936096,1.4169409275054932,570.0,13.150525093078613,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,13.815385818481445,32,1,0.1281323365878769,0.0016155001304356408,32,13.815386772155762,23.246871948242188,0.718755841255188,0.718755841255188,0.703545008138694,28.417316436767578,7.999,0.8160268664360046,1.8956750631332397,570.0,13.815385818481445,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
10,TrialState.COMPLETE,11.587052345275879,16,4,0.09308702882865652,0.0003253425182484388,32,11.587053298950195,20.031566619873047,0.7911741733551025,0.7911741733551025,0.830695566708261,25.4801025390625,7.999,0.8509705066680908,2.9729323387145996,570.0,11.587052345275879,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
11,TrialState.COMPLETE,12.331625938415527,16,4,0.0959149445227158,0.0003122720186934885,32,12.331626892089844,21.65975570678711,0.7558473348617554,0.7558473348617554,0.7723704581621741,25.79124641418457,7.999,0.8354426026344299,2.5782175064086914,570.0,12.331625938415527,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
12,TrialState.COMPLETE,13.109782218933105,16,4,0.08575629253352977,0.0002705212376229502,32,13.109780311584473,21.943687438964844,0.7494043111801147,0.7494043111801147,0.7123924440668326,28.343698501586914,7.999,0.8269283771514893,3.1912460327148438,570.0,13.109782218933105,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
13,TrialState.COMPLETE,13.960301399230957,16,2,0.09298843938411873,0.0001462062408483754,32,13.960299491882324,23.853181838989258,0.7038941383361816,0.7038941383361816,0.6212487832170722,29.86220932006836,7.999,0.8027248382568359,3.753793716430664,570.0,13.960301399230957,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
14,TrialState.COMPLETE,13.778099060058594,16,4,0.06215064599031601,0.00042509638141054195,32,13.778099060058594,23.954984664916992,0.7013612389564514,0.7013612389564514,0.6108963202152914,27.775880813598633,7.999,0.806109607219696,1.162164568901062,570.0,13.778099060058594,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
15,TrialState.COMPLETE,12.322498321533203,16,8,0.010201249573717638,0.00017901479162808992,32,12.32249927520752,21.947711944580078,0.7493124008178711,0.7493124008178711,0.6665659084882773,24.637161254882812,7.999,0.8578246235847473,1.937778115272522,570.0,12.322498321533203,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
16,TrialState.COMPLETE,12.671616554260254,16,8,0.1326927436823277,0.00048058128629665083,128,12.671616554260254,21.856849670410156,0.7513837218284607,0.7513837218284607,0.7792326604525127,25.72415542602539,7.999,0.8440135717391968,2.1358439922332764,570.0,12.671616554260254,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
17,TrialState.COMPLETE,13.602109909057617,16,4,0.17516617177949217,0.0001960775235646966,32,13.602108001708984,23.512313842773438,0.7122964859008789,0.7122964859008789,0.7671440005420216,27.157184600830078,7.999,0.8204858303070068,2.366717576980591,570.0,13.602109909057617,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
18,TrialState.COMPLETE,13.07342529296875,96,2,0.11441576028410884,0.00037037722381898935,32,13.073424339294434,22.449636459350586,0.7377152442932129,0.7377152442932129,0.7105731137603387,27.13555908203125,7.999,0.8247293829917908,1.7558094263076782,570.0,13.07342529296875,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
19,TrialState.COMPLETE,12.696730613708496,32,8,0.0649135560764042,0.0024260040195649684,128,12.696731567382812,21.331310272216797,0.7631957530975342,0.7631957530975342,0.7588585848365712,26.624801635742188,7.999,0.8439476490020752,2.5581166744232178,570.0,12.696730613708496,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
20,TrialState.COMPLETE,11.975930213928223,16,4,0.20116354278146595,0.0005981733664070372,32,11.975930213928223,19.879261016845703,0.7943376302719116,0.7943376302719116,0.7634394450292952,25.493148803710938,7.999,0.8499913215637207,1.7943068742752075,570.0,11.975930213928223,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
