number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,8.568894386291504,32,8,0.18033450352296262,0.0011114989443094978,64,8.568894386291504,15.34569263458252,0.7980505228042603,0.7980505228042603,0.8888787087860617,20.097671508789062,8.996,0.87851482629776,1.8788409233093262,1260.0,8.568894386291504,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,10.096772193908691,96,8,0.04184815819561255,0.00027010527749605503,128,10.096773147583008,17.587854385375977,0.7347255349159241,0.7347255349159241,0.8365115571753545,23.73465347290039,8.996,0.8412706255912781,2.947247266769409,1260.0,10.096772193908691,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,9.300825119018555,64,8,0.2896896099223678,0.0015635108708133452,128,9.300826072692871,15.834230422973633,0.7849875688552856,0.7849875688552856,0.8916678312082187,21.675430297851562,8.996,0.865875244140625,1.8777419328689575,1260.0,9.300825119018555,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,9.836421966552734,64,1,0.15602040635334324,0.000642033033629786,64,9.836423873901367,17.26291847229004,0.7444369792938232,0.7444369792938232,0.8550387177981355,23.728696823120117,8.996,0.8402292728424072,2.4884119033813477,1260.0,9.836421966552734,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,8.942397117614746,16,8,0.1166031869068446,0.0002516607127550297,32,8.94239616394043,14.796051979064941,0.8122580051422119,0.8122580051422119,0.8985543997328211,22.275333404541016,8.996,0.8639070987701416,2.3387374877929688,1260.0,8.942397117614746,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,9.01512622833252,64,1,0.24463842853645024,0.0011069143219393448,64,9.01512622833252,15.93769359588623,0.7821685075759888,0.7821685075759888,0.8714556882139454,22.45716094970703,8.996,0.8555673956871033,1.3340920209884644,1260.0,9.01512622833252,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,9.020524024963379,64,1,0.21888185350141923,0.000874479618932312,32,9.020524024963379,15.180951118469238,0.8023632764816284,0.8023632764816284,0.8993000129750311,23.450000762939453,8.996,0.8535319566726685,2.7338716983795166,1260.0,9.020524024963379,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,9.438780784606934,96,2,0.032367428097991334,0.00011128194768838959,32,9.438780784606934,16.092037200927734,0.7779290676116943,0.7779290676116943,0.7554664490634061,24.068815231323242,8.996,0.8392217755317688,2.1703269481658936,1260.0,9.438780784606934,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,8.880271911621094,16,4,0.2789092957027719,0.0015620386984526499,64,8.88027286529541,15.401679039001465,0.7965742945671082,0.7965742945671082,0.7995312979239775,21.41404151916504,8.996,0.8653562664985657,2.0269253253936768,1260.0,8.880271911621094,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,9.111773490905762,32,1,0.1281323365878769,0.0016155001304356408,32,9.111774444580078,16.029985427856445,0.779638409614563,0.779638409614563,0.8743855050888705,21.740346908569336,8.996,0.8651225566864014,1.6939398050308228,1260.0,9.111773490905762,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
