number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,9.073417663574219,32,8,0.18033450352296262,0.0011114989443094978,64,9.073417663574219,16.304466247558594,0.8580944538116455,0.8580944538116455,0.8433072216121702,19.146682739257812,7.999,0.9037848114967346,1.601448893547058,133.0,9.073417663574219,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,10.701801300048828,96,8,0.04184815819561255,0.00027010527749605503,128,10.701801300048828,18.519088745117188,0.8169264793395996,0.8169264793395996,0.8017943306683075,23.18036651611328,7.999,0.8618879914283752,0.7810642123222351,133.0,10.701801300048828,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,10.08104133605957,64,8,0.2896896099223678,0.0015635108708133452,128,10.08104133605957,17.882322311401367,0.829299807548523,0.829299807548523,0.7853729726684872,20.247562408447266,7.999,0.8899896144866943,1.250320315361023,133.0,10.08104133605957,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,9.900239944458008,64,1,0.15602040635334324,0.000642033033629786,64,9.900239944458008,17.558391571044922,0.8354281187057495,0.8354281187057495,0.7694970768493586,19.726367950439453,7.999,0.8972511291503906,1.4233351945877075,133.0,9.900239944458008,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,9.362006187438965,16,8,0.1166031869068446,0.0002516607127550297,32,9.362006187438965,16.73642921447754,0.8504756689071655,0.8504756689071655,0.8741980053475519,20.000595092773438,7.999,0.8953658938407898,1.3683011531829834,133.0,9.362006187438965,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,9.676352500915527,64,1,0.24463842853645024,0.0011069143219393448,64,9.676352500915527,17.585264205932617,0.8349239826202393,0.8349239826202393,0.7748100988998298,19.72001838684082,7.999,0.8937441110610962,1.5469067096710205,133.0,9.676352500915527,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,10.779903411865234,64,1,0.21888185350141923,0.000874479618932312,32,10.779902458190918,18.843605041503906,0.8104541897773743,0.8104541897773743,0.7752073464379285,21.8984317779541,7.999,0.8711903691291809,1.0922825336456299,133.0,10.779903411865234,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,9.41446304321289,96,2,0.032367428097991334,0.00011128194768838959,32,9.414462089538574,16.749048233032227,0.8502501249313354,0.8502501249313354,0.8207040828771391,19.908607482910156,7.999,0.8959723114967346,1.0615365505218506,133.0,9.41446304321289,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,9.635948181152344,16,4,0.2789092957027719,0.0015620386984526499,64,9.635948181152344,17.285219192504883,0.8405090570449829,0.8405090570449829,0.7998673239238256,20.787111282348633,7.999,0.8923195600509644,2.3755650520324707,133.0,9.635948181152344,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,9.736220359802246,32,1,0.1281323365878769,0.0016155001304356408,32,9.736221313476562,17.3631649017334,0.8390673995018005,0.8390673995018005,0.8497323393947437,19.780467987060547,7.999,0.897100567817688,1.675464391708374,133.0,9.736220359802246,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
