number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.486619770526886,160,3,0.36599697090570255,0.0007661100707771367,32,29.777780380610487,49.11970928111926,-0.2794805853066973,-0.2794805853066973,-0.35580013432509117,65.83754882081703,7.999000000000001,-0.1387509134608096,11.823804222187537,19.0,0.486619770526886
1,TrialState.COMPLETE,0.4788356125354767,288,2,0.35403628889802274,0.00010725209743172001,32,29.02680816454169,49.304098212317776,-0.28910461896926587,-0.28910461896926587,-0.36088381278487636,64.28064820717047,7.999000000000001,-0.15203605142584942,8.422402495664459,19.0,0.4788356125354767
2,TrialState.COMPLETE,0.49245503544807434,96,1,0.15212112147976886,0.0005958389350068958,128,29.991678737375736,48.69550224756574,-0.2574763445360906,-0.2574763445360906,-0.2614482261758382,66.21673913749245,7.999000000000001,-0.14126712983992862,15.240231001964634,19.0,0.49245503544807434
3,TrialState.COMPLETE,0.5165032744407654,96,1,0.18318092164684585,0.000471705203762518,32,29.816255700835924,50.265257851713976,-0.3398554723251297,-0.3398554723251297,-0.36345762202475007,66.1145991537209,7.999000000000001,-0.2715707911144629,9.088659364275061,19.0,0.5165032744407654
4,TrialState.COMPLETE,0.44592341780662537,224,1,0.3037724259507192,0.0001786013788939711,128,28.366535980366617,47.865519040195906,-0.21497591875567457,-0.21497591875567457,-0.28971703605997634,62.06209085256623,7.999000000000001,-0.038058867276239194,12.429211633208572,19.0,0.44592341780662537
5,TrialState.COMPLETE,0.5576080083847046,288,1,0.048836057003191935,0.0010249322216924156,128,31.113136483503883,51.17049084400887,-0.3885492577778329,-0.3885492577778329,-0.3844585570896417,68.91137396559485,7.999000000000001,-0.3960874338729419,8.444832836707537,19.0,0.5576080083847046
6,TrialState.COMPLETE,0.5027735829353333,64,3,0.12938999080000846,0.0009519754482692679,128,29.447679733482918,50.06487779040211,-0.3291942247308868,-0.3291942247308868,-0.36365608987992126,65.24013321465549,7.999000000000001,-0.22765000641825428,9.345812906166922,19.0,0.5027735829353333
7,TrialState.COMPLETE,0.5018154382705688,96,3,0.3875664116805573,0.002442046084491142,128,29.487223907715975,49.822076606400856,-0.31633301866854,-0.31633301866854,-0.4028201623246699,65.63642159636768,7.999000000000001,-0.2180519120557114,11.03201411240518,19.0,0.5018154382705688
8,TrialState.COMPLETE,0.49056476354599,64,1,0.022613644455269033,0.0003023795012558478,128,29.120336761061512,48.79120330244151,-0.26242382677610143,-0.26242382677610143,-0.27486571395962023,64.24597425394734,7.999000000000001,-0.18171917244626723,8.541804715183332,19.0,0.49056476354599
9,TrialState.COMPLETE,0.4644758999347687,160,1,0.27134804157912423,0.00016149614799999194,128,28.647340258835538,48.59593567294416,-0.25233933569264955,-0.25233933569264955,-0.2951820121254751,62.943835324031085,7.999000000000001,-0.11198266189961847,8.977767799923317,19.0,0.4644758999347687
10,TrialState.COMPLETE,0.47552481293678284,224,2,0.4847685553939329,0.00023373668585598394,64,28.931053938218582,49.18109365700727,-0.2826804899361304,-0.2826804899361304,-0.345700195757382,63.855655610662474,7.999000000000001,-0.14264740278192134,9.654224309671116,19.0,0.47552481293678284
11,TrialState.COMPLETE,0.4534810781478882,192,2,0.25593379523988913,0.00011325623758797914,64,28.45411455042753,48.28530671608993,-0.23638040595726495,-0.23638040595726495,-0.3059838817135214,62.35745370707137,7.999000000000001,-0.07350568170282434,11.542448607982514,19.0,0.4534810781478882
12,TrialState.COMPLETE,0.4541555345058441,224,2,0.25683693806014873,0.0001109425421958437,64,28.46080641935965,48.54475222351551,-0.24970268346430613,-0.24970268346430613,-0.32041680965599073,62.31575486845181,7.999000000000001,-0.0792314600951074,10.058803531967682,19.0,0.4541555345058441
13,TrialState.COMPLETE,0.47762277722358704,224,2,0.305279041929572,0.00020836079378062217,64,29.171689896533536,48.910568641499516,-0.2686083012471099,-0.2686083012471099,-0.354754652650638,64.68205592169777,7.999000000000001,-0.12799771424961648,12.79910627380692,19.0,0.47762277722358704
14,TrialState.COMPLETE,0.49596714973449707,320,2,0.20449317271963946,0.00035224938629379796,64,29.483507669503712,49.40254138899096,-0.2942575474090241,-0.2942575474090241,-0.4060271172222716,65.86015288915561,7.999000000000001,-0.1777967316642437,11.97442872624018,19.0,0.49596714973449707
15,TrialState.COMPLETE,0.5046485662460327,192,2,0.4779243705364564,0.00015442298407127345,64,29.512741042135534,50.032473220024684,-0.3274741354986075,-0.3274741354986075,-0.3776666885932649,65.52819911781015,7.999000000000001,-0.23711292836420017,8.796583831028734,19.0,0.5046485662460327
16,TrialState.COMPLETE,0.47021299600601196,160,1,0.318347963953445,0.00015139148244308848,64,28.83700310376937,49.14557370903703,-0.2808283842482451,-0.2808283842482451,-0.3381813550770558,63.14063982638869,7.999000000000001,-0.13531529137104936,7.78423918384032,19.0,0.47021299600601196
17,TrialState.COMPLETE,0.4896768629550934,256,3,0.10681884278445877,0.0017080659935001274,64,29.342088479689135,48.84110641532592,-0.2650075341558673,-0.2650075341558673,-0.43025784113407606,66.0526403952009,7.999000000000001,-0.11534914018336617,15.249216450788136,19.0,0.4896768629550934
18,TrialState.COMPLETE,0.4969084858894348,192,1,0.4264342202471388,0.0003133655096069962,128,29.304978175761942,49.89623072382366,-0.3202543387473471,-0.3202543387473471,-0.37319455264563195,64.92466055573458,7.999000000000001,-0.20352097693129112,8.696265835551545,19.0,0.4969084858894348
19,TrialState.COMPLETE,0.5022841095924377,256,2,0.2129947687351685,0.00010380836837556018,32,29.44194267025091,50.02045394337355,-0.326836415178559,-0.326836415178559,-0.37589017386488055,65.3954957772039,7.999000000000001,-0.2339715239290281,7.723608620458695,19.0,0.5022841095924377
20,TrialState.COMPLETE,0.45262226462364197,128,2,0.30462997810525627,0.0002055418465930927,128,28.4573007686118,48.36843919928971,-0.2406414062921296,-0.2406414062921296,-0.3200101026791522,62.43486314482365,7.999000000000001,-0.0710518966960525,11.69763303134355,19.0,0.45262226462364197
21,TrialState.COMPLETE,0.4535120129585266,128,2,0.3017425884129488,0.0002078437899865038,128,28.542189553688424,48.05893497315879,-0.2248147544438952,-0.2248147544438952,-0.29121600051762475,62.7620635393958,7.999000000000001,-0.06344766945873115,12.632268436643166,19.0,0.4535120129585266
22,TrialState.COMPLETE,0.45030251145362854,128,2,0.23895004213030857,0.00013949487378236104,128,28.383981128234346,48.39739765469798,-0.24212740891294393,-0.24212740891294393,-0.3144697356681463,62.179130852984635,7.999000000000001,-0.06664258101164044,10.02363977738262,19.0,0.45030251145362854
23,TrialState.COMPLETE,0.5233421921730042,128,3,0.4180952069347071,0.0004407297157411355,128,29.768478305332557,50.077894898473076,-0.3298855083201111,-0.3298855083201111,-0.4104659382109326,66.80260096649067,7.999000000000001,-0.30034376925671524,11.42046979026404,19.0,0.5233421921730042
24,TrialState.COMPLETE,0.4476386606693268,128,1,0.34043864337597485,0.0002455070404860966,128,28.59423777546374,47.97964725579692,-0.22077668503111614,-0.22077668503111614,-0.27882629672397363,62.73726277784837,7.999000000000001,-0.03977394986000182,11.237399322419105,19.0,0.4476386606693268
25,TrialState.COMPLETE,0.473028302192688,160,1,0.22622282085536616,0.00015164145003779278,128,28.89959841598795,49.01239863749122,-0.27389619129995735,-0.27389619129995735,-0.3394748523238502,63.844105934933246,7.999000000000001,-0.13099561169418128,10.286629301465306,19.0,0.473028302192688
26,TrialState.COMPLETE,0.4623664617538452,128,1,0.34401445377883016,0.0002613234211797105,128,28.800011377970378,48.63233566564162,-0.25421612701052987,-0.25421612701052987,-0.3180014374823703,63.24434771345917,7.999000000000001,-0.09421783706492981,11.07440223548232,19.0,0.4623664617538452
27,TrialState.COMPLETE,0.4726446866989136,96,1,0.4061080132164645,0.00037729653190033465,128,28.97924135388214,49.02101940842904,-0.27434436088055136,-0.27434436088055136,-0.33899620673185016,63.82635823377322,7.999000000000001,-0.12554647731874335,11.36813544580148,19.0,0.4726446866989136
28,TrialState.COMPLETE,0.45069465041160583,192,1,0.27848685567903836,0.00017693693191963712,128,28.478321855548277,47.88767868549878,-0.21610114075842968,-0.21610114075842968,-0.27541155205172396,62.490427963773975,7.999000000000001,-0.05318501493687244,11.967554386954966,19.0,0.45069465041160583
29,TrialState.COMPLETE,0.45402324199676514,160,1,0.37272328146799105,0.0001330660831029567,32,28.612866852465014,48.280716930874476,-0.2361453675496381,-0.2361453675496381,-0.2883264244972674,62.85747664177297,7.999000000000001,-0.06131994272403274,9.834602172456679,19.0,0.45402324199676514
