number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,9.322250366210938,32,8,0.18033450352296262,0.0011114989443094978,64,9.322251319885254,16.3939266204834,0.7722617387771606,0.7722617387771606,0.8666555739859578,22.234882354736328,8.996,0.861573338508606,2.3780124187469482,2520.0,9.322250366210938,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,11.596478462219238,96,8,0.04184815819561255,0.00027010527749605503,128,11.596478462219238,18.04868507385254,0.7239668965339661,0.7239668965339661,0.8355276835288735,31.379825592041016,8.996,0.7389670610427856,7.372375965118408,2520.0,11.596478462219238,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,9.298492431640625,64,8,0.2896896099223678,0.0015635108708133452,128,9.298492431640625,15.976996421813965,0.7836981415748596,0.7836981415748596,0.88975143597084,23.167308807373047,8.996,0.8534541130065918,2.0864224433898926,2520.0,9.298492431640625,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,10.995532035827637,64,1,0.15602040635334324,0.000642033033629786,64,10.995532989501953,19.11368179321289,0.6904301643371582,0.6904301643371582,0.7803718495142636,27.143932342529297,8.996,0.7941118478775024,2.2224245071411133,2520.0,10.995532035827637,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,10.221834182739258,16,8,0.1166031869068446,0.0002516607127550297,32,10.221833229064941,16.408519744873047,0.7718561291694641,0.7718561291694641,0.8771822818514824,25.701326370239258,8.996,0.8275256752967834,3.299448251724243,2520.0,10.221834182739258,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,11.230754852294922,64,1,0.24463842853645024,0.0011069143219393448,64,11.230754852294922,20.018095016479492,0.6604408025741577,0.6604408025741577,0.7617096318805794,24.92759895324707,8.996,0.8211001753807068,2.25704026222229,2520.0,11.230754852294922,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,10.671112060546875,64,1,0.21888185350141923,0.000874479618932312,32,10.671113014221191,17.267457962036133,0.7473456263542175,0.7473456263542175,0.8583304261033224,27.578821182250977,8.996,0.7920541763305664,2.910386562347412,2520.0,10.671112060546875,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,10.487606048583984,96,2,0.032367428097991334,0.00011128194768838959,32,10.487603187561035,17.88059425354004,0.7290844917297363,0.7290844917297363,0.7394056896212604,25.767072677612305,8.996,0.8156477808952332,2.0682177543640137,2520.0,10.487606048583984,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,8.879670143127441,16,4,0.2789092957027719,0.0015620386984526499,64,8.879670143127441,15.05670166015625,0.807898998260498,0.807898998260498,0.8732258065048382,22.013479232788086,8.996,0.8652439117431641,2.270409107208252,2520.0,8.879670143127441,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,10.017423629760742,32,1,0.1281323365878769,0.0016155001304356408,32,10.017423629760742,17.770851135253906,0.7323998212814331,0.7323998212814331,0.7515111942104228,23.62826919555664,8.996,0.8466833233833313,1.5794646739959717,2520.0,10.017423629760742,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
10,TrialState.COMPLETE,9.528827667236328,16,4,0.2908611332363597,0.00252530511192619,64,9.528826713562012,16.26622200012207,0.7757959365844727,0.7757959365844727,0.7957175646773195,25.305646896362305,8.996,0.8262768983840942,1.8949768543243408,2520.0,9.528827667236328,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
