number,state,objective,hidden_size,num_layers,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss
0,TrialState.COMPLETE,0.5190964341163635,160,3,0.36599697090570255,0.0007661100707771367,32,31.915094218858577,51.45988648500217,-0.3913940670838323,-0.3913940670838323,-0.2877339855054226,68.02611436162948,7.999000000000001,-0.23448439566173107,12.390075297592634,19.0,0.5190964341163635
1,TrialState.COMPLETE,0.4420410394668579,288,2,0.35403628889802274,0.00010725209743172001,32,28.44503789753493,49.088691367004856,-0.2661215730109767,-0.2661215730109767,-0.3470145202474273,60.90003481807397,7.999000000000001,-0.05010869744954505,6.900485519386043,19.0,0.4420410394668579
2,TrialState.COMPLETE,0.4501713216304779,96,1,0.15212112147976886,0.0005958389350068958,128,29.02140631614777,48.97167131510171,-0.260092281515256,-0.260092281515256,-0.3223776033880541,62.33152470692412,7.999000000000001,-0.06322812658150401,5.6902598916362335,19.0,0.4501713216304779
3,TrialState.COMPLETE,0.4777615964412689,96,1,0.18318092164684585,0.000471705203762518,32,29.97747167734202,49.159894259987375,-0.2697972424374617,-0.2697972424374617,-0.22377847672162754,64.76981735207356,7.999000000000001,-0.10767297510841622,4.801044426584218,19.0,0.4777615964412689
4,TrialState.COMPLETE,0.435239315032959,224,1,0.3037724259507192,0.0001786013788939711,128,28.371508629807124,48.949464404639606,-0.25894972660029736,-0.25894972660029736,-0.3170387797514387,60.519274104803664,7.999000000000001,-0.03535760908562402,6.157497397249228,19.0,0.435239315032959
5,TrialState.COMPLETE,0.5129112005233765,288,1,0.048836057003191935,0.0010249322216924156,128,30.326301808820077,49.956488286749455,-0.31128261438241167,-0.31128261438241167,-0.3556553452821012,67.19839965683924,7.999000000000001,-0.2113047995755304,8.164770089980014,19.0,0.5129112005233765
6,TrialState.COMPLETE,0.4651436507701874,64,3,0.12938999080000846,0.0009519754482692679,128,29.57006933116748,49.06415430663046,-0.26485614359359655,-0.26485614359359655,-0.25502184845423637,63.19953910991896,7.999000000000001,-0.09201787746680035,5.842361420277645,19.0,0.4651436507701874
7,TrialState.COMPLETE,0.46950751543045044,96,3,0.3875664116805573,0.002442046084491142,128,29.212634494458662,48.364017944302624,-0.22901517907171565,-0.22901517907171565,-0.2615204103958557,64.42390005527055,7.999000000000001,-0.08111611459941148,8.788962709033669,19.0,0.46950751543045044
8,TrialState.COMPLETE,0.42601773142814636,64,1,0.022613644455269033,0.0003023795012558478,128,28.314086274010325,48.46586734113329,-0.2341969758681577,-0.2341969758681577,-0.2913709258211019,60.49564142648759,7.999000000000001,0.006102759858977125,6.301444599760951,19.0,0.42601773142814636
9,TrialState.COMPLETE,0.4219447374343872,160,1,0.27134804157912423,0.00016149614799999194,128,28.278482217647046,48.04453399855612,-0.21283150592050304,-0.21283150592050304,-0.26832043970093555,60.4503504385423,7.999000000000001,0.020604425356228195,5.929169739750416,19.0,0.4219447374343872
10,TrialState.COMPLETE,0.4303107261657715,192,2,0.4847685553939329,0.0001062996582408466,64,28.455249261305944,48.386107366829755,-0.23013809798866092,-0.23013809798866092,-0.3181698248386573,61.35752583908464,7.999000000000001,0.00393786360591708,7.791860586395899,19.0,0.4303107261657715
11,TrialState.COMPLETE,0.45527008175849915,160,2,0.005439474756386554,0.00025048530900246906,64,28.75633840415309,49.32554023306071,-0.2783689113387615,-0.2783689113387615,-0.36367421143559375,61.75242337860304,7.999000000000001,-0.08983231937553837,6.2250747271876055,19.0,0.45527008175849915
12,TrialState.COMPLETE,0.4402911067008972,224,1,0.23126164616691092,0.0002701914791472316,128,28.46798105336718,49.04269004596729,-0.2637497039198782,-0.2637497039198782,-0.34085048752323077,60.9168897743274,7.999000000000001,-0.048173439558198305,6.596343715327754,19.0,0.4402911067008972
13,TrialState.COMPLETE,0.4590352773666382,128,1,0.09357396189138681,0.00029684656215607334,128,29.070594552535876,48.92790397408656,-0.2578409291649766,-0.2578409291649766,-0.3347624117652801,63.22488521726811,7.999000000000001,-0.06838527684934648,9.28335489825353,19.0,0.4590352773666382
14,TrialState.COMPLETE,0.4434175193309784,64,2,0.24362346988259184,0.00019110787233326342,128,28.627448039896542,48.78684179085445,-0.2505985174969585,-0.2505985174969585,-0.3186354680724086,61.36914267453143,7.999000000000001,-0.05303672259662018,6.31735140196371,19.0,0.4434175193309784
15,TrialState.COMPLETE,0.43168994784355164,320,2,0.4486861840756169,0.00037375272392628473,64,28.398832169870435,48.32090321508457,-0.22682491282874362,-0.22682491282874362,-0.29085800639602066,60.837298724604864,7.999000000000001,-0.01226707841745589,7.25693581585217,19.0,0.43168994784355164
16,TrialState.COMPLETE,0.44263914227485657,160,1,0.2954038992607804,0.00017238277447470415,128,28.559496197847093,48.90417427621912,-0.25662113658413666,-0.25662113658413666,-0.32743233155576346,61.095276883847724,7.999000000000001,-0.06173959524329509,5.603832477652824,19.0,0.44263914227485657
17,TrialState.COMPLETE,0.5800350904464722,224,1,0.19916564385754043,0.0017080659935001274,128,32.32663758392202,52.03577621681986,-0.42271062231058587,-0.42271062231058587,-0.28232152191351556,72.1362626029693,7.999000000000001,-0.42404958762540734,6.931438012268874,19.0,0.5800350904464722
18,TrialState.COMPLETE,0.4521668255329132,128,1,0.29105329549141923,0.00013917452221623536,32,28.83641569143503,49.26597823237704,-0.2752834413099132,-0.2752834413099132,-0.3528478744452659,61.89198024689821,7.999000000000001,-0.08373358891532723,6.109258423694213,19.0,0.4521668255329132
19,TrialState.COMPLETE,0.4489741325378418,64,2,0.08820965932160431,0.00041009230113825515,64,28.81179271587313,48.21036764865157,-0.22121853239584977,-0.22121853239584977,-0.2770126322859958,62.6476517880045,7.999000000000001,-0.033198516384971954,8.168245557055915,19.0,0.4489741325378418
20,TrialState.COMPLETE,0.44305673241615295,192,2,0.002647240695249662,0.0002538995443261738,128,28.509080394646045,49.070943808419344,-0.2652062296129023,-0.2652062296129023,-0.3372989426368167,61.020246895389704,7.999000000000001,-0.059349939937555884,6.218901367275376,19.0,0.44305673241615295
21,TrialState.COMPLETE,0.43857404589653015,192,2,0.49479017765482103,0.00010149998369885937,64,28.610329117783202,48.766110574659066,-0.2495358982016569,-0.2495358982016569,-0.33181952683068916,61.6198501460253,7.999000000000001,-0.03165732714861247,7.248141194108999,19.0,0.43857404589653015
22,TrialState.COMPLETE,0.45267191529273987,256,3,0.42531369369062233,0.00013820105513297947,64,29.032017083308034,49.043179016161865,-0.2637749039657382,-0.2637749039657382,-0.33117875407485187,62.50355898557724,7.999000000000001,-0.06931490188770506,7.271464709499922,19.0,0.45267191529273987
