number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,10.050140380859375,32,8,0.18033450352296262,0.0011114989443094978,64,10.050141334533691,17.970308303833008,0.8276158571243286,0.8276158571243286,0.7719376209653046,20.460752487182617,7.999,0.8826748132705688,1.0394803285598755,133.0,10.050140380859375,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,11.18575382232666,96,8,0.04184815819561255,0.00027010527749605503,128,11.185754776000977,19.64862632751465,0.793912947177887,0.793912947177887,0.7342238911205864,22.865886688232422,7.999,0.8584357500076294,0.7585511207580566,133.0,11.18575382232666,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,9.528564453125,64,8,0.2896896099223678,0.0015635108708133452,128,9.528564453125,17.42655372619629,0.8378901481628418,0.8378901481628418,0.8117441249152377,19.437633514404297,7.999,0.8907719850540161,0.9072726368904114,133.0,9.528564453125,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,9.741661071777344,64,1,0.15602040635334324,0.000642033033629786,64,9.741660118103027,16.761423110961914,0.8500287532806396,0.8500287532806396,0.823997010196801,20.309276580810547,7.999,0.8920617699623108,0.9332189559936523,133.0,9.741661071777344,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,9.171121597290039,16,8,0.1166031869068446,0.0002516607127550297,32,9.171123504638672,16.831418991088867,0.8487735390663147,0.8487735390663147,0.8486000806045064,19.44268798828125,7.999,0.8933946490287781,0.9979893565177917,133.0,9.171121597290039,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,9.61103630065918,64,1,0.24463842853645024,0.0011069143219393448,64,9.61103630065918,17.023937225341797,0.8452942967414856,0.8452942967414856,0.824085421096812,20.334131240844727,7.999,0.8948506116867065,1.915199875831604,133.0,9.61103630065918,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,10.301563262939453,64,1,0.21888185350141923,0.000874479618932312,32,10.30156135559082,18.115266799926758,0.8248235583305359,0.8248235583305359,0.8304958252237815,21.711271286010742,7.999,0.8815275430679321,2.1660852432250977,133.0,10.301563262939453,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,9.660426139831543,96,2,0.032367428097991334,0.00011128194768838959,32,9.660426139831543,17.73360252380371,0.8321272730827332,0.8321272730827332,0.7957245238151112,19.721424102783203,7.999,0.8898537158966064,0.8169481754302979,133.0,9.660426139831543,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,9.962024688720703,16,4,0.2789092957027719,0.0015620386984526499,64,9.96202564239502,18.09794044494629,0.8251584768295288,0.8251584768295288,0.8093406571413269,21.68090057373047,7.999,0.870392918586731,1.1128125190734863,133.0,9.962024688720703,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,10.322490692138672,32,1,0.1281323365878769,0.0016155001304356408,32,10.322490692138672,18.860036849975586,0.8101234436035156,0.8101234436035156,0.7365297240775235,19.91404151916504,7.999,0.892408549785614,1.071869969367981,133.0,10.322490692138672,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
