Modelo,Periodo,Lookback,Horizonte,NSE,KGE,MAE,LogNSE,RMSE_dry
TFT,recente,N/A,N/A,0.8441704511642456,0.8707573508696991,7.551162242889404,0.8965049386024475,1.3346222639083862
TFT,recente,N/A,N/A,0.8115533590316772,0.8298315932393454,8.82779598236084,0.8532652258872986,2.3544912338256836
TFT,recente,N/A,N/A,0.8181881308555603,0.8856120360398777,8.240862846374512,0.8817498087882996,1.9135440587997437
TFT,recente,N/A,N/A,0.8151794672012329,0.8765249624944716,8.839292526245117,0.8642028570175171,2.367250442504883
TFT,recente,N/A,N/A,0.8482513427734375,0.8704778378948992,7.460165023803711,0.9012029767036438,1.378653645515442
TFT,recente,N/A,N/A,0.8382347822189331,0.8769116105686481,7.427372455596924,0.902836799621582,1.1566293239593506
TFT,recente,N/A,N/A,0.8141329884529114,0.8245376559872137,8.679085731506348,0.8739275336265564,2.3248164653778076
LSTM,passado,N/A,N/A,-0.21722242350894416,-0.2949265557879899,28.175236647531776,0.032719039842662,7.955913970949882
LSTM,passado,N/A,N/A,-0.23486371013527774,-0.3145665428392981,29.130885967023247,-0.06686475076404697,12.552022669780914
LSTM,passado,N/A,N/A,-0.23382433856917606,-0.2757073058461985,29.06925901506658,-0.07453754212955244,9.350452496845609
LSTM,passado,N/A,N/A,-0.20144979257547346,-0.25900802356859276,28.25342971204211,0.05097392187578631,6.639793655214337
LSTM,passado,N/A,N/A,-0.04091555571360628,-0.010567321275552821,25.129551478267757,0.22569260886275377,4.731662841772141
LSTM,passado,N/A,N/A,-0.21497591875567457,-0.28971703605997634,28.366535980366617,-0.038058867276239194,12.429211633208572
LSTM,passado,N/A,N/A,-0.03977092544365579,-0.01968975961360675,25.022884278843318,0.24643104880830136,5.5202211348587955
LSTM,passado,N/A,N/A,-0.1517788270289333,-0.21846806755233095,27.507945424419226,0.09714889845490671,6.963589100721753
LSTM,passado,N/A,N/A,0.0056412968991073065,0.028518447052897855,24.241991665803287,0.2727032155563731,5.2660932806062295
LSTM,passado,N/A,N/A,-0.19460433850507175,-0.2567339172029166,28.04554687291689,0.03699245900469572,5.883813035829269
LSTM,passado,N/A,N/A,-0.22359341134293942,-0.29735132001579045,28.647636528929617,-0.03413733520408879,10.998869175064161
LSTM,passado,N/A,N/A,-0.027716407633201934,-0.005707763790768539,24.31694801810165,0.26005431068947105,4.531789588373865
LSTM,recente,N/A,N/A,-0.06903389757029355,-0.06520051892574341,20.5605411686584,0.11891552677685224,8.10450230687503
LSTM,recente,N/A,N/A,-0.154944641707071,-0.19901426070454065,21.428969229927898,0.05896031996951967,9.582290012654097
LSTM,recente,N/A,N/A,0.10062565594806105,0.13167412105069498,18.485190382129083,0.30925180252903917,5.606178468405202
LSTM,recente,N/A,N/A,-0.04705115484343447,-0.03268704550210577,20.346124751160616,0.14152051605604932,8.119807889992808
LSTM,recente,N/A,N/A,-0.14727253599871304,-0.22055245965192416,21.5338237420103,0.051888286250891036,9.770955431464825
LSTM,recente,N/A,N/A,0.1006747043213938,0.13174585402044614,18.48488608344976,0.30926745826130575,5.605338514788191
LSTM,recente,N/A,N/A,-0.05314820521789865,-0.034173288640933164,20.60293904894808,0.13428700581523456,8.321600699798752
LSTM,recente,N/A,N/A,-0.1472973428386546,-0.15773681517081894,21.336935058482368,0.02334969446169488,8.396085622735635
LSTM,recente,N/A,N/A,0.09991347772535597,0.13081930531333785,18.494404802322386,0.3086598671950428,5.661934971905648
LSTM,recente,N/A,N/A,-0.06456003437820423,-0.06451561307033993,20.553512371425207,0.12465497453578123,8.464657401363008
LSTM,recente,N/A,N/A,0.10666840458852178,0.1559581051500759,18.3878841219018,0.3085162677396225,5.327945707345729
LSTM,recente,N/A,N/A,-0.1360497878621485,-0.19213064966569648,21.35121799090309,0.06884234615794815,9.582611449014856
TFT,passado,N/A,N/A,0.8436936140060425,0.8767748719166444,9.724544525146484,0.8979824185371399,0.8605503439903259
TFT,passado,N/A,N/A,0.8282358050346375,0.8084369887503674,10.471596717834473,0.8707908391952515,0.9285916686058044
TFT,passado,N/A,N/A,0.8606613278388977,0.8891812278044491,8.88829517364502,0.9068154692649841,0.8414872288703918
TFT,passado,N/A,N/A,0.8452144265174866,0.8361904822938658,9.179083824157715,0.8972793817520142,0.650583028793335
TFT,passado,N/A,N/A,0.8486169576644897,0.8622200854334585,9.458222389221191,0.8936303853988647,1.2714210748672485
TFT,passado,N/A,N/A,0.8526681065559387,0.8613897267885123,9.287793159484863,0.9034799337387085,1.0264986753463745
TFT,passado,N/A,N/A,0.8317358493804932,0.8120716633504538,10.458215713500977,0.8669029474258423,1.704289436340332
TFT,passado,N/A,N/A,0.8384804129600525,0.8318346670911337,9.90993595123291,0.8855142593383789,1.1416152715682983
TFT,passado,N/A,N/A,0.8496567010879517,0.8326392081119642,9.027471542358398,0.8979514837265015,0.6559803485870361
TFT,passado,N/A,N/A,0.8349741697311401,0.8113429447758946,10.064443588256836,0.8749440312385559,1.2123184204101562
TFT,passado,N/A,N/A,0.829677402973175,0.7896151624344994,10.130810737609863,0.879543662071228,1.7553644180297852
TFT,recente,N/A,N/A,0.8190183639526367,0.8425409673077519,8.43631362915039,0.8751621246337891,1.7107410430908203
TFT,passado,N/A,N/A,0.8642702698707581,0.8916043159096732,8.808585166931152,0.907471239566803,1.1027458906173706
TFT,recente,N/A,N/A,0.8070029616355896,0.8991196537368351,8.475225448608398,0.8761043548583984,1.7893242835998535
TFT,recente,N/A,N/A,0.8234536647796631,0.8328843949567626,8.377093315124512,0.8759891986846924,2.3788576126098633
TFT,recente,N/A,N/A,0.8095908761024475,0.8776247626018879,9.044082641601562,0.8613213300704956,2.7364423274993896
TFT,recente,N/A,N/A,0.848186194896698,0.8704581533682785,7.450224876403809,0.9016154408454895,1.6420633792877197
